Serial Number	Date_IV	Obs#	Port#	Observation Length	Exp_Flux	Exp_R2	Lin_Flux	Lin_R2	Tcham_IV	V1_IV	V2_IV	V3_IV	V4_IV	
81A-1652	2020-06-19 15:18:27	1	1	02:00	6.490000	0.9995	6.490	0.9995	22.47	2.5	-0.53	15.718	0.048	
81A-1652	2020-06-19 15:22:01	2	2	02:00	6.610000	0.9997	5.550	0.9987	23.13	2.8	-0.533	19.469	0.043	
81A-1652	2020-06-19 15:25:35	3	3	02:00	56.040001	0.9668	56.040	0.9668	23.23	2.8	-0.533	39.321	0.043	
81A-1652	2020-06-19 15:29:11	4	4	02:00	3.160000	0.9996	3.060	0.9995	23.14	2.618	-0.534	20.564	0.041	
81A-1652	2020-06-19 15:32:44	5	1	02:00	8.430000	0.9997	6.780	0.9988	22.72	2.5	-0.532	15.617	0.044	
81A-1652	2020-06-19 15:36:16	6	2	02:00	5.920000	0.9996	5.410	0.9993	23.27	2.8	-0.534	19.463	0.041	
81A-1652	2020-06-19 15:39:46	7	3	02:00	58.750000	0.9681	58.750	0.9682	23.55	2.8	-0.534	39.338	0.04	
81A-1652	2020-06-19 15:43:21	8	4	02:00	3.210000	0.9996	3.000	0.9994	23.71	2.6	-0.534	20.55	0.041	
81A-1652	2020-06-19 16:02:42	9	1	02:00	8.930000	0.9998	6.980	0.9985	23.45	2.515	-0.535	15.737	0.039	
81A-1652	2020-06-19 16:06:14	10	2	02:00	6.480000	0.9997	5.320	0.9985	23.93	2.8	-0.535	19.506	0.039	
81A-1652	2020-06-19 16:09:49	11	3	02:00	80.089996	0.9825	80.090	0.9825	23.88	2.8	-0.535	39.404	0.039	
81A-1652	2020-06-19 16:13:25	12	4	02:00	2.940000	0.9993	2.940	0.9993	23.69	2.636	-0.535	20.589	0.039	
81A-1652	2020-06-19 16:32:42	13	1	02:00	9.730000	0.9999	7.120	0.9983	22.97	2.596	-0.533	15.67	0.042	
81A-1652	2020-06-19 16:36:13	14	2	02:00	6.310000	0.9997	5.350	0.9986	23.34	2.8	-0.535	19.531	0.038	
81A-1652		15	3	02:00										
