Collar,deadband
2,8.5
2,
3,11
3,19.5
4,37
4,6
5,52
5,3
6,24
6,9.5
7,12
7,24
8,23
8,4
9,21.5
9,22
10,22
10,24
11,7.5
11,22
12,11.83
12,8
13,1
13,5
14,33
14,11.67
15,9
15,44
16,36
16,
17,29
17,5.67
18,13
18,14
19,18.6
19,1
20,
20,25
21,28
21,7
22,22
22,32
23,14
23,10
24,19.5
24,8
29,7
29,36
30,9
30,1
31,23
31,2
32,15.5
32,6
33,5
33,8
34,1
34,3.33
35,11
35,7.5
36,
36,10
37,36
37,51
38,
38,30
39,9
39,16
40,5
40,10
41,18.75
41,
42,34
42,4.5
43,28.5
43,4
44,4
44,25.5
45,4
45,
46,15.5
46,7.5
47,19
47,24
48,
48,5
25,
25,7
26,12.67
26,10
27,19.5
27,19
28,16.33
28,19.5
