Timestamp,Round,Collar,Port,Plot,Group,Treatment,LI8100A_Port,Flux,value
2021-08-19T08:32:45Z,0,4,1,Control,1,45 µm,NA,CH4,-60.6929
2021-08-19T08:32:45Z,0,4,1,Control,1,45 µm,NA,CO2,-7.83666
2021-08-19T08:33:55Z,0,4,2,Control,1,45 µm,NA,CH4,-0.0914527
2021-08-19T08:33:55Z,0,4,2,Control,1,45 µm,NA,CO2,13.0091
2021-08-19T08:36:19Z,0,2,1,Control,1,Disturbance,NA,CH4,-3.66452
2021-08-19T08:36:19Z,0,2,1,Control,1,Disturbance,NA,CO2,30.9592
2021-08-19T08:37:44Z,0,2,2,Control,1,Disturbance,NA,CH4,-1.1006
2021-08-19T08:37:44Z,0,2,2,Control,1,Disturbance,NA,CO2,13.0069
2021-08-19T08:40:16Z,0,3,1,Control,1,1 µm,NA,CH4,-0.761374
2021-08-19T08:40:16Z,0,3,1,Control,1,1 µm,NA,CO2,13.9554
2021-08-19T08:43:52Z,0,1,1,Control,1,Control,NA,CH4,-2.41786
2021-08-19T08:43:52Z,0,1,1,Control,1,Control,NA,CO2,19.716
2021-08-19T08:45:17Z,0,1,2,Control,1,Control,NA,CH4,-1.10968
2021-08-19T08:45:17Z,0,1,2,Control,1,Control,NA,CO2,11.6314
2021-08-19T08:48:06Z,0,5,1,Control,2,Control,NA,CH4,-2.53573
2021-08-19T08:48:06Z,0,5,1,Control,2,Control,NA,CO2,21.96
2021-08-19T08:49:32Z,0,5,2,Control,2,Control,NA,CH4,-1.96428
2021-08-19T08:49:32Z,0,5,2,Control,2,Control,NA,CO2,14.1136
2021-08-19T08:52:26Z,0,6,1,Control,2,Disturbance,NA,CH4,-2.34236
2021-08-19T08:52:26Z,0,6,1,Control,2,Disturbance,NA,CO2,26.0108
2021-08-19T08:53:52Z,0,6,2,Control,2,Disturbance,NA,CH4,-1.51815
2021-08-19T08:53:52Z,0,6,2,Control,2,Disturbance,NA,CO2,14.0279
2021-08-19T08:56:58Z,0,7,1,Control,2,1 µm,NA,CH4,-1.45559
2021-08-19T08:56:58Z,0,7,1,Control,2,1 µm,NA,CO2,17.7267
2021-08-19T08:58:24Z,0,7,2,Control,2,1 µm,NA,CH4,-0.652567
2021-08-19T08:58:24Z,0,7,2,Control,2,1 µm,NA,CO2,10.3749
2021-08-19T09:01:35Z,0,8,1,Control,2,45 µm,NA,CH4,-2.06565
2021-08-19T09:01:35Z,0,8,1,Control,2,45 µm,NA,CO2,17.0687
2021-08-19T09:03:01Z,0,8,2,Control,2,45 µm,NA,CH4,-1.9101
2021-08-19T09:03:01Z,0,8,2,Control,2,45 µm,NA,CO2,12.6556
2021-08-19T09:06:10Z,0,10,1,Control,3,Disturbance,NA,CH4,-0.337105
2021-08-19T09:06:10Z,0,10,1,Control,3,Disturbance,NA,CO2,9.03733
2021-08-19T09:07:35Z,0,10,2,Control,3,Disturbance,NA,CH4,-0.26472
2021-08-19T09:07:35Z,0,10,2,Control,3,Disturbance,NA,CO2,10.8647
2021-08-19T09:09:28Z,0,12,1,Control,3,45 µm,NA,CH4,0.554986
2021-08-19T09:09:28Z,0,12,1,Control,3,45 µm,NA,CO2,14.5715
2021-08-19T09:10:53Z,0,12,2,Control,3,45 µm,NA,CH4,-0.0207186
2021-08-19T09:10:53Z,0,12,2,Control,3,45 µm,NA,CO2,5.88732
2021-08-19T09:13:07Z,0,9,1,Control,3,Control,NA,CH4,-2.3703
2021-08-19T09:13:07Z,0,9,1,Control,3,Control,NA,CO2,53.0487
2021-08-19T09:14:32Z,0,9,2,Control,3,Control,NA,CH4,-1.1335
2021-08-19T09:14:32Z,0,9,2,Control,3,Control,NA,CO2,24.5853
2021-08-19T09:17:24Z,0,11,1,Control,3,1 µm,NA,CH4,0.084432
2021-08-19T09:17:24Z,0,11,1,Control,3,1 µm,NA,CO2,2.41278
2021-08-19T09:18:49Z,0,11,2,Control,3,1 µm,NA,CH4,0.131303
2021-08-19T09:18:49Z,0,11,2,Control,3,1 µm,NA,CO2,2.57194
2021-08-19T09:21:46Z,0,13,1,Control,4,Control,NA,CH4,-1.42255
2021-08-19T09:21:46Z,0,13,1,Control,4,Control,NA,CO2,14.4274
