Serial Number	Date_IV	Obs#	Port#	Observation Length	Exp_Flux	Exp_R2	Lin_Flux	Lin_R2	Tcham_IV	V1_IV	V2_IV	V3_IV	V4_IV	
81A-1678	2021-10-15 10:59:18	1	1	02:00	10.500000	0.9999	10.500	0.9999	19.85	2	0.42	68.688	0.229	
81A-1678	2021-10-15 11:02:50	2	2	02:00	7.250000	0.9991	4.680	0.9940	18.43	3.198	0.303	11.359	0.326	
81A-1678	2021-10-15 11:06:22	3	3	02:00	3.390000	0.9990	2.820	0.9979	20.11	4.029	0.422	15.656	2.822	
81A-1678	2021-10-15 11:12:40	4	4	02:00	3.620000	0.9927	3.620	0.9927	20.17	3.482	0.342	18.085	0.039	
81A-1678	2021-10-15 11:58:43	5	1	02:00	10.110000	0.9997	8.780	0.9990	21.38	2.4	0.427	69.943	0.268	
81A-1678	2021-10-15 12:02:12	6	2	02:00	5.090000	0.9974	3.910	0.9963	20.15	2.6	0.306	11.875	0.37	
81A-1678	2021-10-15 12:05:41	7	3	02:00	3.100000	0.9886	3.100	0.9886	21.32	2.509	0.422	16.237	2.862	
81A-1678	2021-10-15 12:09:14	8	4	02:00	4.400000	0.9988	4.400	0.9988	21.66	3.895	0.345	18.525	0.036	
81A-1678	2021-10-15 12:58:43	9	1	02:00	10.290000	0.9997	8.870	0.9985	22.02	2.313	0.427	70.081	0.288	
81A-1678	2021-10-15 13:02:15	10	2	02:00	7.600000	0.9983	4.710	0.9910	20.78	2.6	0.304	12.291	0.396	
81A-1678	2021-10-15 13:05:45	11	3	02:00	3.030000	0.9984	2.670	0.9981	22.07	3.345	0.422	16.684	2.814	
81A-1678	2021-10-15 13:09:14	12	4	02:00	5.060000	0.9994	4.250	0.9984	22.18	3.6	0.345	18.983	0.035	
81A-1678	2021-10-15 13:58:43	13	1	02:00	10.290000	0.9998	8.820	0.9988	22.56	2.435	0.426	70.084	0.296	
81A-1678	2021-10-15 14:02:15	14	2	02:00	8.540000	0.9991	5.120	0.9922	20.9	2.5	0.311	12.641	0.409	
81A-1678	2021-10-15 14:05:45	15	3	02:00	2.900000	0.9990	2.710	0.9988	22.29	3.3	0.422	17.045	2.657	
81A-1678	2021-10-15 14:09:14	16	4	02:00	4.730000	0.9994	4.250	0.9992	22.39	3.1	0.345	19.387	0.034	
81A-1678	2021-10-15 14:58:43	17	1	02:00	11.180000	0.9997	9.220	0.9982	23.04	2.2	0.426	70.289	0.313	
81A-1678	2021-10-15 15:02:15	18	2	02:00	7.090000	0.9990	4.880	0.9957	20.78	2.5	0.31	12.937	0.418	
81A-1678	2021-10-15 15:05:46	19	3	02:00	3.120000	0.9993	2.790	0.9991	23.06	3.224	0.422	17.415	2.196	
81A-1678	2021-10-15 15:09:15	20	4	02:00	5.550000	0.9995	4.400	0.9984	23.05	3.1	0.344	19.681	0.033	
81A-1678	2021-10-15 15:58:43	21	1	02:00	11.460000	0.9998	9.120	0.9979	22.88	2.2	0.423	70.402	0.31	
81A-1678	2021-10-15 16:02:15	22	2	02:00	4.490000	0.9995	4.290	0.9994	20.13	2.5	0.308	13.222	0.422	
81A-1678	2021-10-15 16:05:43	23	3	02:00	2.660000	0.9994	2.660	0.9994	22.79	3.2	0.422	17.718	1.608	
81A-1678	2021-10-15 16:09:15	24	4	02:00	5.110000	0.9996	4.440	0.9989	22.75	3	0.344	19.944	0.033	
81A-1678	2021-10-15 16:58:43	25	1	02:00	13.030000	0.9998	9.760	0.9972	22.07	2.2	0.423	70.9	0.281	
81A-1678	2021-10-15 17:02:15	26	2	02:00	7.800000	0.9995	5.140	0.9954	19.7	2.5	0.307	13.24	0.387	
81A-1678	2021-10-15 17:05:46	27	3	02:00	3.570000	0.9988	2.900	0.9977	21.95	3.3	0.421	17.684	1.508	
81A-1678	2021-10-15 17:09:16	28	4	02:00	6.400000	0.9995	4.640	0.9981	21.96	3	0.343	19.971	0.033	
81A-1678	2021-10-15 17:58:43	29	1	02:00	14.390000	0.9998	10.070	0.9966	21.72	2.2	0.422	70.997	0.266	
81A-1678	2021-10-15 18:02:15	30	2	02:00	8.450000	0.9992	4.710	0.9955	19.48	2.551	0.307	13.188	0.367	
81A-1678	2021-10-15 18:05:44	31	3	02:00	3.120000	0.9994	2.860	0.9992	21.64	3.2	0.42	17.619	1.327	
81A-1678	2021-10-15 18:09:13	32	4	02:00	5.860000	0.9997	4.590	0.9981	21.58	3	0.343	19.954	0.033	
81A-1678	2021-10-15 18:58:43	33	1	02:00	14.530000	0.9998	10.310	0.9965	21.11	2.2	0.422	71.317	0.246	
81A-1678	2021-10-15 19:02:15	34	2	02:00	6.570000	0.9997	5.060	0.9972	19.25	2.6	0.305	13.138	0.338	
81A-1678	2021-10-15 19:05:46	35	3	02:00	3.150000	0.7502	2.930	0.9986	21.03	3.2	0.42	17.535	0.822	
81A-1678	2021-10-15 19:09:16	36	4	02:00	7.500000	0.9996	5.010	0.9972	21.02	3	0.343	19.936	0.033	
81A-1678	2021-10-15 19:58:43	37	1	02:00	12.870000	0.9998	9.860	0.9975	20.56	2.2	0.42	71.394	0.226	
81A-1678	2021-10-15 20:02:15	38	2	02:00	7.850000	0.9992	5.020	0.9951	18.45	2.602	0.303	13.037	0.314	
81A-1678	2021-10-15 20:05:46	39	3	02:00	3.280000	0.9993	2.790	0.9988	20.49	3.2	0.421	17.415	0.648	
81A-1678	2021-10-15 20:09:15	40	4	02:00	6.230000	0.9997	4.750	0.9982	20.38	3.107	0.343	19.823	0.033	
81A-1678	2021-10-15 20:58:43	41	1	02:00	12.110000	0.9997	9.830	0.9983	20.09	2.2	0.42	71.257	0.211	
81A-1678	2021-10-15 21:02:15	42	2	02:00	8.500000	0.9994	5.360	0.9945	17.92	2.7	0.303	12.928	0.296	
81A-1678	2021-10-15 21:05:46	43	3	02:00	3.100000	0.9989	2.820	0.9987	20.04	3.3	0.419	17.294	0.58	
81A-1678	2021-10-15 21:09:15	44	4	02:00	5.730000	0.9992	4.780	0.9984	19.93	3.1	0.343	19.704	0.034	
81A-1678	2021-10-15 21:58:43	45	1	02:00	12.090000	0.9998	9.950	0.9985	19.66	2.3	0.419	71.411	0.2	
81A-1678	2021-10-15 22:02:15	46	2	02:00	8.180000	0.9992	5.120	0.9948	17.52	2.7	0.304	12.825	0.279	
81A-1678	2021-10-15 22:05:46	47	3	02:00	3.220000	0.9991	2.850	0.9988	19.6	3.3	0.418	17.121	0.518	
81A-1678	2021-10-15 22:09:15	48	4	02:00	5.460000	0.9994	4.690	0.9989	19.46	3.1	0.343	19.581	0.034	
81A-1678	2021-10-15 22:58:43	49	1	02:00	12.240000	0.9998	10.120	0.9987	19.21	2.293	0.419	71.313	0.19	
81A-1678	2021-10-15 23:02:15	50	2	02:00	7.040000	0.9996	5.140	0.9971	17.02	2.7	0.304	12.686	0.261	
81A-1678	2021-10-15 23:05:46	51	3	02:00	3.130000	0.9986	2.840	0.9984	19.13	3.231	0.418	16.947	0.486	
81A-1678	2021-10-15 23:09:15	52	4	02:00	5.710000	0.9996	4.720	0.9988	19.01	3.1	0.343	19.416	0.034	
81A-1678	2021-10-15 23:58:43	53	1	02:00	12.430000	0.9997	10.310	0.9985	18.74	2.3	0.419	71.819	0.179	
81A-1678	2021-10-16 00:02:15	54	2	02:00	7.700000	0.9990	5.140	0.9947	16.06	2.765	0.303	12.531	0.25	
81A-1678	2021-10-16 00:05:46	55	3	02:00	2.950000	0.9991	2.720	0.9990	18.81	3.2	0.419	16.777	0.466	
81A-1678	2021-10-16 00:09:15	56	4	02:00	5.820000	0.9995	4.630	0.9980	18.63	3.1	0.342	19.234	0.035	
81A-1678	2021-10-16 00:58:43	57	1	02:00	12.000000	0.9998	10.390	0.9991	18.36	2.3	0.417	71.925	0.17	
81A-1678	2021-10-16 01:02:12	58	2	02:00	6.700000	0.9993	4.890	0.9975	16.57	2.7	0.302	12.352	0.237	
81A-1678	2021-10-16 01:05:41	59	3	02:00	3.330000	0.9978	2.790	0.9972	18.36	3.275	0.418	16.59	0.433	
81A-1678	2021-10-16 01:09:10	60	4	02:00	5.960000	0.9994	4.600	0.9980	18.24	3.2	0.341	19.038	0.035	
81A-1678	2021-10-16 01:58:43	61	1	02:00	12.620000	0.9998	10.320	0.9983	17.96	2.3	0.417	71.918	0.161	
81A-1678	2021-10-16 02:02:15	62	2	02:00	8.620000	0.9995	5.140	0.9924	16.12	2.8	0.303	12.194	0.226	
81A-1678	2021-10-16 02:05:47	63	3	02:00	3.030000	0.9995	2.810	0.9994	17.97	3.3	0.417	16.388	0.417	
81A-1678	2021-10-16 02:09:16	64	4	02:00	5.090000	0.9998	4.490	0.9994	17.87	3.1	0.342	18.86	0.035	
81A-1678	2021-10-16 02:58:43	65	1	02:00	12.240000	0.9998	10.230	0.9986	17.79	2.3	0.416	71.897	0.154	
81A-1678	2021-10-16 03:02:15	66	2	02:00	7.410000	0.9994	5.000	0.9967	16.06	2.7	0.3	12.041	0.217	
81A-1678	2021-10-16 03:05:43	67	3	02:00	3.130000	0.9991	2.840	0.9989	17.79	3.3	0.415	16.22	0.398	
