Item#	Date_IV	File Name	Obs#	Exp_Flux	Exp_Flux[2]	soilp_c_IV	soilp_m_IV	soilp_t_IV	Observation Length	Exp_R2	Exp_R2[2]	err_IV	
* 1	2020-04-15 14:14:06	2	1	2.01565	-0.485292	0.02	0.381	14.9	60	0.790426	0.685113	0	
* 2	2020-04-15 14:15:31	2	2	0	0	0.02	0.383	14.4	60	0	0	0	
* 3	2020-04-15 14:17:28	3	1	1.60509	-0.798907	0.0171364	0.367182	14.3591	59	0.964728	0.914661	0	
* 4	2020-04-15 14:18:54	3	2	1.64386	-0.66788	0.013	0.344	14.1	59	0.97023	0.975421	0	
* 5	2020-04-15 14:20:38	4	1	1.20333	-0.392154	0.014	0.366	13.8	60	0.932797	0.913072	0	
* 6	2020-04-15 14:22:03	4	2	1.25653	-0.495932	0.015	0.369	13.7	59	0.922587	0.957173	0	
* 7	2020-04-15 14:23:44	5	1	2.02593	-0.672753	0.014	0.343	13.7	59	0.965263	0.982514	0	
* 8	2020-04-15 14:25:09	5	2	2.04774	-0.686026	0.015	0.347	13.5	60	0.96843	0.811286	0	
* 9	2020-04-15 14:26:53	6	1	2.32332	-0.53996	0.024	0.197	13.7	59	0.457078	0.325837	0	
* 10	2020-04-15 14:28:20	6	2	2.15237	-0.525482	0.001	0.107	13.8	60	0.955595	0.882957	0	
* 11	2020-04-15 14:29:59	7	1	2.34852	-0.524745	0	0	14	59	0.963856	0.964703	0	
* 12	2020-04-15 14:31:25	7	2	2.31765	-0.490193	0.014	0.342333	14.1	60	0.957364	0.971622	0	
* 13	2020-04-15 14:33:02	8	1	1.69151	-0.582625	0	0	14.1	60	0.830216	0.983788	0	
* 14	2020-04-15 14:34:27	8	2	1.62395	-0.542417	0.009	0.319727	14.3182	59	0.951004	0.967346	0	
* 15	2020-04-15 14:36:09	9	1	1.84861	-1.11129	0.01	0.325	14.6	59	0.939135	0.994009	0	
* 16	2020-04-15 14:37:35	9	2	2.11188	-1.03945	0.01	0.332	14.4	59	0.924586	0.979034	0	
* 17	2020-04-15 14:39:20	10	1	2.48552	-0.250732	0.00827273	0.322636	14.4136	59	0.988153	0.348819	0	
* 18	2020-04-15 14:40:45	10	2	1.96583	-0.204077	0.031	0.414	14.1	59	0.988437	0.931576	0	
* 19	2020-04-15 14:42:20	11	1	1.82875	-0.167843	0.031	0.414	14.1	60	0.871942	0.820191	0	
* 20	2020-04-15 14:43:45	11	2	2.15518	-0.149853	0.034	0.381	14.1	59	0.54919	0.866229	0	
* 21	2020-04-15 14:45:26	12	1	0.48315	-1.23533	0.034	0.384	14.1	59	0.67158	0.706371	0	
* 22	2020-04-15 14:46:51	12	2	0.879646	-0.0784694	0.043	0.447	14.3	59	0.795397	-0.0290599	0	
* 23	2020-04-15 14:48:33	13	1	1.50523	-0.246331	0.027	0.427	14.4	59	0.58273	0.768968	0	
* 24	2020-04-15 14:49:59	13	2	1.92225	-0.293926	0.029	0.426	14.6	60	0.961832	0.917501	0	
* 25	2020-04-15 14:51:43	14	1	2.12593	-0.419476	0.024	0.349	14.9	59	0.579905	0.906827	0	
* 26	2020-04-15 14:53:09	14	2	1.86426	-0.475633	0.025	0.359	14.7	59	0.952394	0.875201	0	
* 27	2020-04-15 14:54:45	15	1	1.86552	-0.418482	0.041	0.418	14.6	59	0.969422	0.858926	0	
* 28	2020-04-15 14:56:11	15	2	2.07243	-0.434503	0.04	0.424	14.4	59	0.777206	0.963481	0	
* 29	2020-04-15 15:01:41	16	1	1.28496	-0.295951	0.043	0.437	14.1	59	0.923872	0.953097	0	
* 30	2020-04-15 15:03:07	16	2	0	0	0.044	0.437	14.1	60	0	0	0	
* 31	2020-04-15 15:10:07	17	1	2.17713	-0.33021	0.015	0.342	13.4	59	0.693366	0.625144	0	
* 32	2020-04-15 15:11:33	17	2	2.53041	-0.323121	0.015	0.348	13.5	59	0.977138	0.942394	0	
* 33	2020-04-15 15:13:35	18	1	1.36468	-0.500908	0.02	0.365	13.5	59	0.887938	0.94962	0	
* 34	2020-04-15 15:15:01	18	2	1.57598	-0.469858	0.02	0.371	13.4	59	0.917316	0.879075	0	
* 35	2020-04-15 15:17:09	19	1	1.81206	-0.195332	0.001	0.046	13.1	59	0.931121	0.568794	0	
* 36	2020-04-15 15:18:34	19	2	0.827521	-0.179209	0.02	0.412	12.8	59	0.776034	0.667144	0	
* 37	2020-04-15 15:20:28	20	1	0	0	0.0191818	0.397273	12.8	59	0	0	0	
* 38	2020-04-15 15:21:54	20	2	1.80322	-0.154845	0.001	0.096	12.8	59	0.918392	-1.18309	0	
* 39	2020-04-15 15:23:54	21	1	3.12681	-0.83527	0.001	0.098	13.1	60	0.969924	0.976	0	
* 40	2020-04-15 15:25:19	21	2	2.07142	-0.438518	0.001	0.124	13.1	59	0.966416	0.947891	0	
* 41	2020-04-15 15:27:11	22	1	2.31656	-0.17766	0	0	13.1	59	0.946731	0.0189138	0	
* 42	2020-04-15 15:28:36	22	2	1.49912	-0.186841	0.008	0.171	13.3	59	0.949164	0.784765	0	
* 43	2020-04-15 15:30:33	23	1	1.14844	-0.453353	0.036	0.385	13.1	60	0.785114	0.821554	0	
* 44	2020-04-15 15:31:58	23	2	1.14953	-0.11334	0.035	0.385	13.1	60	0.884179	0.686375	0	
* 45	2020-04-15 15:35:15	24	1	1.85282	-0.479517	0.03	0.424	13.1	59	0.930961	0.909311	0	
* 46	2020-04-15 15:36:40	24	2	1.49286	-0.202934	0	0.08	13.3	59	0.247176	0.77916	0	
* 47	2020-04-15 15:38:42	29	1	1.29523	-0.0568774	0	0.092	13.4	59	0.900022	0.520502	0	
* 48	2020-04-15 15:40:08	29	2	1.16488	-0.0504677	0.001	0.123	13.4	59	0.903199	0.243022	0	
* 49	2020-04-15 15:48:43	30	1	0.744988	-0.0526556	0.001	0.127	13.3	59	0.786911	-1.28356	0	
* 50	2020-04-15 15:50:08	30	2	0.769858	-0.0307855	0.001	0.132	13.3	59	0.863657	0.165065	0	
* 51	2020-04-15 15:51:46	31	1	0.811124	-0.0376057	0.001	0.14	13.4	60	0.744028	-3.6856	0	
* 52	2020-04-15 15:53:11	31	2	0.616388	-0.0104334	0	0.117	13.3	59	0.705293	-1.67693	0	
* 53	2020-04-15 15:54:48	32	1	0.925862	-0.336887	0.018	0.129	13.1	59	0.515064	0.667794	0	
* 54	2020-04-15 15:56:14	32	2	1.15437	-0.0916016	0.02	0.134	13.3	59	0.871102	0.540893	0	
* 55	2020-04-15 15:58:37	33	1	1.01822	-0.0921007	0.029	0.26	13.3	60	0.903377	0.0164913	0	
* 56	2020-04-15 16:00:02	33	2	1.13558	-0.0594457	0.033	0.289	13.1	59	0.494482	0.320258	0	
* 57	2020-04-15 16:01:42	34	1	1.45482	-0.152674	0.037	0.425	13.1	60	0.930538	0.814078	0	
* 58	2020-04-15 16:03:07	34	2	1.34494	-0.142613	0.009	0.191	13.1	59	0.949722	0.748021	0	
* 59	2020-04-15 16:04:50	35	1	1.12368	-0.19278	0.012	0.193	13.1	59	0.811941	0.625601	0	
* 60	2020-04-15 16:06:16	35	2	1.46481	-0.109721	0.007	0.186	13	59	0.926137	0.177613	0	
