Item#	Date_IV	File Name	Obs#	Exp_Flux	Exp_Flux[2]	soilp_c_IV	soilp_m_IV	soilp_t_IV	Observation Length	Exp_R2	Exp_R2[2]	err_IV	
* 1	2021-12-07 08:50:29	48	1	0.831906	-0.168463	0.018	0.313533	16.7867	60	0.781133	-0.380775	8	
* 2	2021-12-07 08:51:54	48	2	0.725799	-0.352558	0.018	0.315	15.5	60	0.584701	0.376595	0	
* 3	2021-12-07 08:53:36	47	1	1.20197	-0.58906	0.011	0.231	14.3	60	0.782056	0.873175	0	
* 4	2021-12-07 08:55:02	47	2	0	0	0.011	0.236	13.7	59	0	0	0	
* 5	2021-12-07 08:57:00	46	1	1.54368	-0.944293	0	0	12.8	60	0.837805	0.839994	0	
* 6	2021-12-07 08:58:26	46	2	1.69722	-1.08658	0.011	0.212333	12.5333	60	0.891996	0.985932	0	
* 7	2021-12-07 09:00:35	45	1	2.44899	-0.998483	0.023	0.353	11.2	60	0.91221	0.945969	0	
* 8	2021-12-07 09:02:00	45	2	1.49317	-0.416626	0.024	0.355	10.8	60	0.8287	-0.127318	0	
* 9	2021-12-07 09:04:28	41	1	5.35216	-2.16183	2.60209e-18	4.16334e-17	10.3	60	0.938018	0.979705	0	
* 10	2021-12-07 09:05:53	41	2	1.24982	-0.480954	0.021	0.342	10.2	60	0.834789	0.903379	0	
* 11	2021-12-07 09:09:29	42	1	3.47359	-0.879958	0.0196667	0.3206	9.64667	60	0.899253	0.189595	0	
* 12	2021-12-07 09:10:54	42	2	1.37256	-0.719233	0.016	0.262	9.3	60	0.840001	0.951646	0	
* 13	2021-12-07 09:12:46	43	1	1.01729	-0.55502	0.023	0.305	8.9	60	0.8118	0.891664	0	
* 14	2021-12-07 09:14:11	43	2	1.32222	-0.694533	0.022	0.307	8.8	59	0.812142	0.935462	0	
* 15	2021-12-07 09:16:00	44	1	0.978929	-5.95344	0	0	8.4	60	0.783072	0.00124052	0	
* 16	2021-12-07 09:17:26	44	2	1.10984	-0.360753	0.018	0.257333	8.33333	60	0.72809	0.905961	0	
* 17	2021-12-07 09:20:10	40	1	1.78055	-1.13588	0	0	8	60	0.923449	0.948351	0	
* 18	2021-12-07 09:21:36	40	2	1.85272	-1.13106	0.01	0.204	7.6	60	0.896399	0.926839	0	
* 19	2021-12-07 09:23:52	38	1	2.21343	-0.760157	0.014	0.274	7.4	59	0.897893	0.920327	0	
* 20	2021-12-07 09:25:19	38	2	2.34004	-0.783734	0.014	0.277	7.4	60	0.91479	0.93546	0	
* 21	2021-12-07 09:27:40	39	1	1.98204	-0.682042	0.01	0.196	7.1	60	0.943906	0.958113	0	
* 22	2021-12-07 09:29:06	39	2	0	0	0.01	0.196	7.1	60	0	0	0	
* 23	2021-12-07 09:30:59	37	1	1.44282	-0.651105	0	0	7	60	0.791775	0.747456	0	
* 24	2021-12-07 09:32:26	37	2	1.5648	-0.686845	0.015	0.248333	7.13333	60	0.921407	0.789433	0	
* 25	2021-12-07 09:34:56	33	1	1.40699	-0.501598	0	0	6.9	59	0.886676	0.879674	0	
* 26	2021-12-07 09:36:22	33	2	0	0	0.012	0.2266	6.94	60	0	0	0	
* 27	2021-12-07 09:38:23	35	1	0	0	0.009	0.193	6.7	59	0	0	0	
* 28	2021-12-07 09:39:49	35	2	1.46759	-0.335903	0.023	0.378	6.6	60	0.91699	0.918801	0	
* 29	2021-12-07 09:48:44	34	1	2.33033	-0.595406	0.018	0.294	6.2	60	0.940813	0.964923	0	
* 30	2021-12-07 09:50:09	34	2	1.49784	-0.569292	0.018	0.296	6.2	59	0.931583	0.955635	0	
* 31	2021-12-07 09:52:06	36	1	2.36315	-1.09126	0.002	0.014	6.1	60	0.964506	0.962093	0	
* 32	2021-12-07 09:53:32	36	2	2.09457	-1.12894	0.016	0.297	5.9	59	0.957226	0.93596	0	
* 33	2021-12-07 09:56:29	29	1	2.61298	-7.49074	0.00666667	0.0909333	5.87333	60	0.978728	0.0147213	0	
* 34	2021-12-07 09:57:54	29	2	0	0	0.025	0.343	5.8	59	0	0	0	
* 35	2021-12-07 10:00:14	30	1	1.49498	-0.380006	0.025	0.343	5.9	60	0.927871	0.95302	0	
* 36	2021-12-07 10:01:40	30	2	1.19971	-0.269735	0.021	0.339	6	59	0.892428	0.821846	0	
* 37	2021-12-07 10:03:37	31	1	1.4654	-0.231205	0.016	0.315	6.1	60	0.82301	0.388664	0	
* 38	2021-12-07 10:05:03	31	2	0.767221	-0.222511	0.016	0.32	6.1	59	0.792321	0.879043	0	
* 39	2021-12-07 10:07:16	32	1	2.09294	-0.486291	0.016	0.321	6.1	59	0.950123	0.866091	0	
* 40	2021-12-07 10:08:42	32	2	1.80545	-0.444552	0.016	0.314	6.1	60	0.919617	0.915763	0	
* 41	2021-12-07 10:11:57	27	1	1.33194	-0.155114	0.027	0.269	6.1	60	0.831492	0.732185	0	
* 42	2021-12-07 10:13:22	27	2	1.40285	-1.535	0.005	0.1708	6.2	60	0.927925	0.0868352	0	
* 43	2021-12-07 10:15:38	25	1	2.75924	-0.566377	0.015	0.192	6.2	60	0.922203	0.363901	0	
* 44	2021-12-07 10:17:04	25	2	1.32813	-0.482723	0.015	0.192	6.2	60	0.876567	0.467937	0	
* 45	2021-12-07 10:19:02	26	1	2.59618	-0.775518	0	0	6.3	59	0.963358	0.974653	0	
* 46	2021-12-07 10:20:28	26	2	2.54411	-0.550285	0.024	0.215	6.4	60	0.968301	0.943323	0	
* 47	2021-12-07 10:22:35	28	1	4.4757	-0.700946	0.004	0.125	6.6	60	0.98075	0.570575	0	
* 48	2021-12-07 10:24:01	28	2	3.28149	-0.596079	0.004	0.133	6.6	60	0.977299	0.967568	0	
* 49	2021-12-07 10:26:01	22	1	1.24527	-1.10659	0.001	0.011	6.6	60	0.872305	-2.34356	0	
* 50	2021-12-07 10:27:27	22	2	1.7479	-0.756172	0.006	0.1816	6.4	60	0.950783	0.812171	0	
* 51	2021-12-07 10:30:02	23	1	2.44869	-0.617087	0.001	0.016	6.3	60	0.937903	0.796312	0	
* 52	2021-12-07 10:31:28	23	2	2.34678	-0.56476	0.00763636	0.183727	6.3	59	0.924372	0.952511	0	
* 53	2021-12-07 10:34:25	24	1	1.55299	-0.534086	0.0140909	0.197682	6.42273	59	0.922659	0.913914	0	
* 54	2021-12-07 10:35:51	24	2	0	0	0.018	0.253	6.3	60	0	0	0	
* 55	2021-12-07 10:37:52	21	1	1.08006	-0.695034	0.006	0.072	6.3	60	0.826922	0.523282	0	
* 56	2021-12-07 10:39:18	21	2	1.09524	-0.799684	0.001	0.014	6.6	60	0.908414	0.88193	0	
* 57	2021-12-07 10:41:30	20	1	0.795307	-0.283571	0	0.0162	6.82	60	0.847866	0.749222	0	
* 58	2021-12-07 10:42:56	20	2	1.24448	-0.414295	0.001	0.065	7.1	60	0.92121	0.928972	0	
* 59	2021-12-07 10:44:56	19	1	1.02535	-0.692717	0.004	0.142	7.2	60	0.891772	0.815695	0	
* 60	2021-12-07 10:46:21	19	2	1.15089	-0.396409	0.005	0.153318	7.21364	59	0.902242	0.94205	0	
* 61	2021-12-07 10:48:27	18	1	1.68727	-1.01532	0.004	0.166	7.14	60	0.939186	0.99267	0	
* 62	2021-12-07 10:49:53	18	2	0	0	0.004	0.154	6.9	60	0	0	0	
* 63	2021-12-07 10:51:55	17	1	5.2487	-3.08508	0	0	6.7	60	0.989088	0.994798	0	
* 64	2021-12-07 10:53:21	17	2	2.78491	-1.21041	0.001	0.072	7.1	60	0.984845	0.984154	0	
* 65	2021-12-07 10:58:27	16	1	1.50517	-0.686453	-0.001	-0.0298	6.94	60	0.902535	0.93359	0	
* 66	2021-12-07 10:59:53	16	2	1.60514	-0.361681	0.002	0.108	6.7	60	0.897873	0.578868	0	
* 67	2021-12-07 11:02:26	15	1	1.28997	-1.07711	-0.000136364	-0.00613636	6.85909	59	0.959563	0.939723	0	
* 68	2021-12-07 11:03:52	15	2	0	0	0.001	0.06	7.3	60	0	0	0	
* 69	2021-12-07 11:07:24	14	1	2.54449	-1.75697	0.001	0.0076	7.56	60	0.869242	0.863091	0	
* 70	2021-12-07 11:08:50	14	2	2.09088	-1.42584	0.001	0	7.8	60	0.975992	0.553069	0	
* 71	2021-12-07 11:12:31	13	1	0.81126	-0.669604	0.001	0.006	8.5	60	0.823321	0.722617	0	
* 72	2021-12-07 11:13:56	13	2	0.977489	-0.849149	0.001	0	8.5	59	0.898594	0.408063	0	
* 73	2021-12-07 11:29:54	10	1	2.58268	-0.590248	0.003	0.086	8.8	60	0.975055	0.92585	0	
* 74	2021-12-07 11:31:19	10	2	1.68086	-0.365948	0.003	0.085	8.6	60	0.944509	0.949888	0	
* 75	2021-12-07 11:47:23	12	1	1.11536	-0.452359	0.00333333	0.106667	8.46667	60	0.898772	0.814104	0	
* 76	2021-12-07 11:48:49	12	2	278.14	-274.364	0.003	0.091	8.8	60	0.0214192	-0.00267583	0	
* 77	2021-12-07 12:01:31	9	1	183.31	765.428	0.004	0.082	8.3	59	0.400394	0.770578	128	
* 78	2021-12-07 12:02:57	9	2	-1.69253	-25.2564	0.004	0.082	8.3	60	0.713287	0.871733	16	
* 79	2021-12-07 12:05:01	11	1	-3.28641	10.4754	0	0	8.3	60	0.423521	0.831409	5.86667	
* 80	2021-12-07 12:06:26	11	2	-0.857597	0.112316	0.000666667	0.0483333	8.6	60	0.600842	0.0880947	0	
* 81	2021-12-07 12:08:30	5	1	-0.025543	-0.463732	0.0008	0.0406	8.78	60	-2.16793	0.896792	0	
* 82	2021-12-07 12:09:56	5	2	0.0762008	-0.509218	0	0.023	9	60	-1.08886	-0.926765	0	
* 83	2021-12-07 12:11:58	8	1	0.553117	-1.20589	0	0	8.9	60	0.725433	0.926918	0	
* 84	2021-12-07 12:13:23	8	2	0.940154	-1.44949	0.000727273	0.0115455	9.02727	59	0.821081	0.904784	0	
* 85	2021-12-07 12:15:13	6	1	0	0	0.002	0.064	8.6	60	0	0	0	
* 86	2021-12-07 12:16:39	6	2	0	0	0.001	0.055	9	60	0	0	0	
* 87	2021-12-07 12:18:32	7	1	0	0	0.001	0.07	8.9	60	0	0	0	
* 88	2021-12-07 12:19:57	7	2	1.86701	-0.68749	0.001	0.075	8.9	60	0.588338	-1.92416	0	
* 89	2021-12-07 12:22:11	4	1	1.03411	-0.742804	0	0	8.9	60	0.755625	0.70358	0	
* 90	2021-12-07 12:23:36	4	2	0.880151	-0.398212	0.001	0.063	8.9	59	0.849004	0.893546	0	
* 91	2021-12-07 12:25:29	2	1	1.34676	-0.767168	0.0018	0.0896	8.87333	60	0.843937	0.541654	0	
* 92	2021-12-07 12:26:54	2	2	1.02984	-0.803486	0.004	0.137	8.6	59	0.807291	0.627497	0	
* 93	2021-12-07 12:28:46	3	1	0	0	0.001	0.057	8.5	60	0	0	0	
* 94	2021-12-07 12:30:12	3	2	0	0	0.001	0.062	8.5	60	0	0	0	
* 95	2021-12-07 12:32:09	1	1	1.0477	-0.526904	0	0	8.6	60	0.778413	0.676325	0	
* 96	2021-12-07 12:33:35	1	2	1.48612	-0.670976	0.002	0.088	8.5	60	0.898572	0.820296	0	
