Item#	Date_IV	File Name	Obs#	Exp_Flux	Exp_Flux[2]	soilp_c_IV	soilp_m_IV	soilp_t_IV	Observation Length	Exp_R2	Exp_R2[2]	err_IV	
* 1	2022-07-07 12:53:24	47	1	13.7244	-0.321525	0.017	0.361	25.1	60	0.99449	-0.895216	0	
* 2	2022-07-07 12:54:49	47	2	11.3159	-0.271316	0.017	0.364	24.9	60	0.994868	0.875621	0	
* 3	2022-07-07 12:59:08	48	1	5.74171	-0.139364	0.0227273	0.385273	24.4	59	0.990312	0.677761	0	
* 4	2022-07-07 13:00:34	48	2	0	0	0.023	0.387	24.2	60	0	0	0	
* 5	2022-07-07 13:02:20	46	1	22.8555	-0.83284	0.023	0.39	24.2	60	0.998103	0.70127	0	
* 6	2022-07-07 13:03:45	46	2	13.3656	-0.680636	0.023	0.392	24.2	60	0.998929	0.924838	0	
* 7	2022-07-07 13:05:54	45	1	17.2877	-0.138177	0.004	0.073	23.9	60	0.994626	0.734487	0	
* 8	2022-07-07 13:07:20	45	2	7.00769	-0.148237	0.027	0.447	23.9	60	0.995463	0.517808	0	
* 9	2022-07-07 13:10:00	41	1	16.055	-0.164913	0.004	0.095	23.7	60	0.989097	-3.84613	0	
* 10	2022-07-07 13:11:25	41	2	7.44255	-0.795934	0.027	0.441	23.7	59	0.993508	0.0604198	0	
* 11	2022-07-07 13:13:31	42	1	12.6535	-0.371363	0.024	0.413	23.7	60	0.996652	-0.184621	0	
* 12	2022-07-07 13:14:57	42	2	7.07679	-0.347794	0.023	0.415	23.7	60	0.997125	0.929787	0	
* 13	2022-07-07 13:16:31	44	1	16.945	-0.144098	0.026	0.434	23.7	60	0.993359	-0.933564	0	
* 14	2022-07-07 13:17:56	44	2	5.57392	-0.123847	0.026	0.434	23.7	60	0.996706	0.601637	0	
* 15	2022-07-07 13:20:00	43	1	17.4753	-0.274699	0.005	0.108	23.7	59	0.996496	-1.93767	0	
* 16	2022-07-07 13:21:26	43	2	6.95612	-0.172669	0.021	0.418	23.7	60	-0.625007	0.143046	0	
* 17	2022-07-07 13:23:10	40	1	24.7904	-0.354154	0.0205455	0.417545	23.7	59	0.997534	0.452823	0	
* 18	2022-07-07 13:24:35	40	2	9.14019	-0.258192	0.024	0.42	23.7	59	0.992515	-0.642987	0	
* 19	2022-07-07 13:26:11	38	1	22.4351	-0.250093	0.0241364	0.419727	23.7	59	0.986199	0.235087	0	
* 20	2022-07-07 13:27:37	38	2	10.4522	-0.230215	0.022	0.425	23.7	60	0.995964	0.658869	0	
* 21	2022-07-07 13:29:12	39	1	17.9125	-0.385264	0.022	0.425	23.7	59	0.991961	0.551952	0	
* 22	2022-07-07 13:30:38	39	2	5.15173	-0.10879	0.028	0.444	23.7	60	0.995445	-0.973775	0	
* 23	2022-07-07 13:32:14	37	1	29.1762	-0.411607	0.0299333	0.442733	23.7	60	0.998392	0.719007	0	
* 24	2022-07-07 13:33:39	37	2	9.92852	-0.276128	0.038	0.431	23.7	60	0.996805	0.884794	0	
* 25	2022-07-07 13:35:58	34	1	20.9127	-0.458258	0.01	0.183	23.7	60	0.997455	0.869721	0	
* 26	2022-07-07 13:37:23	34	2	9.03471	-0.123985	0.03	0.413	23.7	60	0.997346	0.66782	0	
* 27	2022-07-07 13:38:58	35	1	23.006	-0.46808	0.03	0.413	23.7	60	0.989972	0.262085	0	
* 28	2022-07-07 13:40:23	35	2	10.0358	-0.128591	0.03	0.414	23.7	60	0.996283	0.615853	0	
* 29	2022-07-07 13:41:57	33	1	16.5233	-0.0823474	0.03	0.414	23.7	60	0.995585	0.464572	0	
* 30	2022-07-07 13:43:22	33	2	7.65704	-0.110129	0.027	0.403	23.7	60	0.994896	0.564673	0	
* 31	2022-07-07 13:45:11	36	1	30.2908	-1.12305	0.0283333	0.4	23.7	60	0.994959	0.923482	0	
* 32	2022-07-07 13:46:37	36	2	12.3513	-0.238858	0.026	0.406	23.7	60	0.997985	0.878288	0	
* 33	2022-07-07 13:50:07	31	1	16.9054	-0.17627	-0.0115909	-0.0854545	23.7	59	0.998212	0.481049	0	
* 34	2022-07-07 13:51:33	31	2	6.99269	-0.121936	0.051	0.374	23.7	60	0.893626	0.475992	0	
* 35	2022-07-07 13:53:11	32	1	9.84612	-0.26372	0.0596667	0.379333	23.7	60	-0.341447	0.0857491	0	
* 36	2022-07-07 13:54:36	32	2	11.1867	-0.180349	0.024	0.355	23.7	60	0.99473	0.748618	0	
* 37	2022-07-07 13:56:16	29	1	23.0094	-0.402782	0.071	0.431	23.7	59	0.999084	0.936523	0	
* 38	2022-07-07 13:57:41	29	2	14.223	-0.326443	0.076	0.445	23.7	59	0.998355	0.543681	0	
* 39	2022-07-07 13:59:38	30	1	0	0	0.002	0.044	23.5	59	0	0	0	
* 40	2022-07-07 14:01:04	30	2	8.25113	-0.113236	0.043	0.442	23.5	60	0.99702	-2.18212	0	
* 41	2022-07-07 14:03:12	27	1	21.9279	-0.0553329	0.008	0.156	23.5	59	0.997434	0.268264	0	
* 42	2022-07-07 14:04:38	27	2	8.74812	-0.0442308	0.061	0.438	23.5	60	0.997531	0.20212	0	
* 43	2022-07-07 14:06:45	26	1	24.1919	-0.286847	0.011	0.176	23.5	60	0.999003	0.84886	0	
* 44	2022-07-07 14:08:11	26	2	9.69085	-0.182106	0.056	0.444	23.5	60	0.998042	0.756072	0	
* 45	2022-07-07 14:09:52	28	1	43.3794	-0.422844	0.057	0.444	23.5	60	0.994644	0.45146	0	
* 46	2022-07-07 14:11:17	28	2	0	0	0.056	0.429	23.5	60	0	0	0	
* 47	2022-07-07 14:13:08	25	1	40.2215	-3.46473	0.0573333	0.416	23.5	60	0.999258	0.792356	0	
* 48	2022-07-07 14:14:34	25	2	15.8181	-1.27696	0.056	0.468	23.5	60	0.997509	-222.024	0	
* 49	2022-07-07 14:16:33	23	1	52.617	8.92798	0.046	0.44	23.5	60	0.992411	0.715371	0	
* 50	2022-07-07 14:17:58	23	2	14.6455	-0.159016	0.046	0.443	23.5	60	0.990224	0.132661	0	
* 51	2022-07-07 14:19:49	24	1	35.5507	-0.886667	0.025	0.316	23.5	60	0.998149	0.905993	0	
* 52	2022-07-07 14:21:14	24	2	13.3564	-0.271538	0.05	0.449	23.5	60	0.996414	-0.972035	0	
* 53	2022-07-07 14:23:02	21	1	41.5168	-0.870685	0.051	0.449	23.5	60	0.998384	0.73619	0	
* 54	2022-07-07 14:24:27	21	2	15.2982	-0.758266	0.029	0.401	23.5	60	0.997334	-0.161279	0	
* 55	2022-07-07 14:26:59	20	1	33.955	-0.0314361	0.016	0.237	23.5	60	0.99332	-18.5283	0	
* 56	2022-07-07 14:28:24	20	2	9.8825	-0.70597	0.044	0.422	23.5	60	0.998099	0.00316202	0	
* 57	2022-07-07 14:30:11	19	1	13.9929	-0.221577	0.0453333	0.422667	23.5	60	0.997846	-2.44773	0	
* 58	2022-07-07 14:31:36	19	2	7.74513	-0.165931	0.04	0.419	23.5	59	0.996235	0.79865	0	
* 59	2022-07-07 14:33:30	18	1	47.1756	-0.892331	0.049	0.436	23.5	60	0.989961	-1.07837	0	
* 60	2022-07-07 14:34:55	18	2	12.8805	-0.556156	0.048	0.44	23.5	60	0.997441	0.939288	0	
* 61	2022-07-07 14:36:51	17	1	32.1629	-0.74631	0.017	0.255	23.5	60	0.998356	-0.0823457	0	
* 62	2022-07-07 14:38:16	17	2	15.9656	-0.550918	0.039	0.423	23.7	60	0.99762	0.90558	0	
* 63	2022-07-07 14:42:23	16	1	17.552	-0.67744	0.064	0.484	23.7	60	0.997201	0.748121	0	
* 64	2022-07-07 14:43:48	16	2	8.58126	-0.0124252	0.064	0.484	23.7	60	0.997748	-3.2216	0	
* 65	2022-07-07 14:45:55	15	1	58.0702	-2.06074	0.003	0.033	23.7	60	0.996953	0.901076	0	
* 66	2022-07-07 14:47:20	15	2	0	0	0.063	0.492	23.7	60	0	0	0	
* 67	2022-07-07 14:49:10	14	1	145.65	-3.22456	0.0641364	0.498364	23.7	59	0.999249	0.995472	0	
* 68	2022-07-07 14:50:36	14	2	39.7337	-0.505721	0.058	0.462	23.7	60	0.99809	0.964007	0	
* 69	2022-07-07 14:53:12	13	1	41.5797	-4.99952	-0.0064	-0.0298	23.7	60	0.995225	0.992439	0	
* 70	2022-07-07 14:54:37	13	2	17.0407	-0.985737	0.044	0.413	23.7	60	0.993706	0.985705	0	
* 71	2022-07-07 14:56:50	9	1	38.1194	-0.83572	0.004	0.08	23.7	60	0.995052	0.855822	0	
* 72	2022-07-07 14:58:15	9	2	17.1676	-0.510314	0.0346	0.3592	23.7	60	0.995204	0.927337	0	
* 73	2022-07-07 15:00:11	12	1	27.6583	-0.658913	0.0344545	0.356409	23.6727	59	0.997858	0.825866	0	
* 74	2022-07-07 15:01:37	12	2	8.20195	0.0262005	0.042	0.411	23.9	60	0.995511	0.00958265	0	
* 75	2022-07-07 15:03:39	10	1	28.106	-0.453149	0.052	0.447	23.9	60	0.997013	0.714376	0	
* 76	2022-07-07 15:05:04	10	2	8.09868	-0.135313	0.048	0.447	23.9	60	0.997551	0.259049	0	
* 77	2022-07-07 15:07:25	8	1	11.8568	-2.58883	0.02	0.3	23.9	59	0.920031	0.900229	0	
* 78	2022-07-07 15:08:51	8	2	12.0916	-2.49847	0.02	0.295	23.7	60	0.901814	0.989944	0	
* 79	2022-07-07 15:10:40	5	1	22.6431	-2.45835	0.015	0.233	23.7	59	0.997498	0.994564	0	
* 80	2022-07-07 15:12:05	5	2	13.2167	-1.23024	0.028	0.395	23.7	59	0.998064	0.955431	0	
* 81	2022-07-07 15:13:53	7	1	12.9888	-0.663001	0.011	0.176	23.7	60	0.99701	-1.45787	0	
* 82	2022-07-07 15:15:18	7	2	10.2902	-0.628706	0.019	0.32	23.5	59	0.996946	-1.60765	0	
* 83	2022-07-07 15:17:30	5	1	19.6457	-2.69382	0.026	0.377	23.5	60	0.997733	0.995466	0	
* 84	2022-07-07 15:18:54	5	2	0	0	0.026	0.377	23.5	59	0	0	0	
* 85	2022-07-07 15:21:08	1	1	28.2929	-0.944956	0.00833333	0.176667	23.5	60	0.997631	0.0366008	0	
* 86	2022-07-07 15:22:34	1	2	11.8691	-0.692152	0.03	0.413	23.5	60	0.998493	0.985896	0	
* 87	2022-07-07 15:25:14	4	1	22.7066	-1.19611	0.0169333	0.2664	23.5	60	0.998197	0.079719	0	
* 88	2022-07-07 15:26:39	4	2	0	0	0.026	0.383	23.5	60	0	0	0	
* 89	2022-07-07 15:29:01	2	1	38.5847	-2.47995	0.015	0.246	23.5	59	0.998145	0.842658	0	
* 90	2022-07-07 15:30:27	2	2	0	0	0.031	0.395	23.5	60	0	0	0	
* 91	2022-07-07 15:32:12	3	1	38.7884	-0.907639	0.0306	0.3922	23.5	60	0.993012	0.755488	0	
* 92	2022-07-07 15:33:37	3	2	16.1458	-0.656725	0.03	0.409	23.5	59	0.991815	0.856102	0	
