Item#	Date_IV	File Name	Obs#	Exp_Flux	Exp_Flux[2]	soilp_c_IV	soilp_m_IV	soilp_t_IV	Observation Length	Exp_R2	Exp_R2[2]	err_IV	
* 1	2022-02-08 09:17:38	48	1	-7.37001	-34.1831	0.011	0.294	10.7	60	0.993636	0.995496	80	
* 2	2022-02-08 09:19:03	48	2	11.8442	132.969	0.011	0.297	9.3	60	0.0130126	0.549103	80	
* 3	2022-02-08 09:21:06	47	1	-0.597238	5.324	0.008	0.271	8.2	60	-291.34	-100.292	19.2	
* 4	2022-02-08 09:22:32	47	2	-0.318413	1.03443	0.008	0.286	7.8	60	0.152634	0.601258	0	
* 5	2022-02-08 09:24:32	46	1	-0.593549	-0.0580271	0.008	0.293	7	60	0.0939645	-4.74688	0	
* 6	2022-02-08 09:25:58	46	2	0.0255483	-0.217334	0.011	0.315	6.3	60	0.026857	-0.498264	0	
* 7	2022-02-08 09:28:01	45	1	0.854063	-0.0674307	0.023	0.312	5.8	60	0.618371	0.194679	0	
* 8	2022-02-08 09:29:27	45	2	0.269748	0.011711	0.026	0.329	5.6	60	-5.13601	0.0176847	0	
* 9	2022-02-08 09:31:43	42	1	-2.44594	0.296387	0	0	5.3	60	0.181434	0.605966	0	
* 10	2022-02-08 09:33:08	42	2	-0.294811	0.337892	0.025	0.313	5	60	0.135644	0.264004	0	
* 11	2022-02-08 09:34:54	44	1	0.195727	-0.127101	0.038	0.388	4.3	60	0.107065	-0.363111	0	
* 12	2022-02-08 09:36:19	44	2	0.0915097	-0.0592156	0.037	0.4	4	60	-1.18954	-3.54704	0	
* 13	2022-02-08 09:38:19	43	1	1.08108	-0.0797298	0.001	0.004	3.7	60	0.524694	-0.839079	0	
* 14	2022-02-08 09:39:44	43	2	0.613653	-0.134393	0.005	0.216	3.7	60	0.381016	0.664139	0	
* 15	2022-02-08 09:41:53	41	1	0.0696493	0.223077	0.0042	0.1902	3.6	60	-1.07006	0.138691	0	
* 16	2022-02-08 09:43:19	41	2	-0.00644499	1.16739	0.004	0.179	3.7	60	0.00303895	0.18959	0	
* 17	2022-02-08 09:45:16	40	1	1.01705	-0.201127	0.003	0.041	3.6	60	0.755495	0.664204	0	
* 18	2022-02-08 09:46:41	40	2	0.594686	-0.221997	0.001	0.137	3.6	60	0.629213	-0.188381	0	
* 19	2022-02-08 09:48:44	38	1	0.933145	-0.569359	0.003	0.184	3.2	60	0.690497	0.906919	0	
* 20	2022-02-08 09:50:10	38	2	0.342965	-0.144666	0.002	0.171	3.2	60	0.325691	-1.31443	0	
* 21	2022-02-08 09:53:08	39	1	0.0631711	-0.815626	0	0.056	3.5	60	0.0187823	0.87827	0	
