Item#	Date_IV	File Name	Obs#	Exp_Flux	Exp_Flux[2]	soilp_c_IV	soilp_m_IV	soilp_t_IV	Observation Length	Exp_R2	Exp_R2[2]	err_IV	
* 1	2021-06-08 08:32:27	4	1	9.95531	-1.09164	0.011	0.327	26.7	59	0.854019	0.749535	8	
* 2	2021-06-08 08:33:53	4	2	0	0	0.011	0.327227	26.4455	59	0	0	0	
* 3	2021-06-08 08:35:57	2	1	36.0506	-6.05748	0.00977273	0.2675	26.2	59	0.996581	0.82494	0	
* 4	2021-06-08 08:37:23	2	2	17.0391	-4.2533	0.008	0.183	25.9	59	0.996005	0.922662	0	
* 5	2021-06-08 08:40:09	3	1	16.4072	-1.65626	0.011	0.266	25.6	59	0.990127	-1.14982	0	
* 6	2021-06-08 08:41:36	3	2	8.75538	-1.44221	0.011	0.266	25.6	60	0.994423	0.993898	0	
* 7	2021-06-08 08:44:01	1	1	16.5418	-2.33952	0.007	0.175	25.4	59	0.996192	0.974082	0	
* 8	2021-06-08 08:45:26	1	2	0	0	0.007	0.177	25.4	59	0	0	0	
* 9	2021-06-08 08:48:10	5	1	11.2578	-2.87939	0.002	0.048	25.4	59	0.993547	0.916133	0	
* 10	2021-06-08 08:49:36	5	2	11.6209	-3.29218	0.002	0.048	25.1	60	0.99739	0.952978	0	
* 11	2021-06-08 08:51:48	8	1	8.50005	-1.74913	0	0	25.1	60	0.994985	0.995587	0	
* 12	2021-06-08 08:53:13	8	2	8.36095	-1.67742	0.011	0.33	24.9	59	0.591233	0.715763	0	
* 13	2021-06-08 08:55:25	6	1	22.1711	-1.74043	0	0	24.9	59	0.998558	0.880151	0	
* 14	2021-06-08 08:56:52	6	2	11.303	-1.18639	0.01	0.249	25.18	60	0.701392	0.72248	0	
* 15	2021-06-08 08:58:59	7	1	21.1771	-1.25847	0.009	0.282	24.9	60	0.990946	0.962365	0	
* 16	2021-06-08 09:00:24	7	2	7.67941	-0.932661	0.009	0.281	24.9	59	0.997171	0.993681	0	
* 17	2021-06-08 09:03:18	10	1	18.7154	-1.22531	0.045	0.412	24.9	60	0.998718	0.977688	0	
