Item#	Date_IV	File Name	Obs#	Exp_Flux	Exp_Flux[2]	soilp_c_IV	soilp_m_IV	soilp_t_IV	Observation Length	Exp_R2	Exp_R2[2]	err_IV	
* 54	2022-07-21 16:05:36	25	2	12.1541	-0.197904	0.049	0.452	27.5	60	0.998496	-5.89848	0	
* 55	2022-07-21 16:07:32	27	1	9.21955	-0.242975	0.005	0.095	27.5	60	0.997194	-47.7428	0	
* 56	2022-07-21 16:08:57	27	2	8.35528	-0.435626	0.048	0.41	27.5	60	0.994374	0.742798	0	
* 57	2022-07-21 16:11:08	30	1	0	0	0.044	0.432	27.5	60	0	0	0	
* 58	2022-07-21 16:12:32	30	2	9.13465	-0.122094	0.044	0.432	27.5	59	0.997658	0.777004	0	
* 59	2022-07-21 16:14:16	31	1	12.0329	-0.644123	0.011	0.164	27.5	59	0.99323	0.900332	0	
* 60	2022-07-21 16:15:41	31	2	5.18322	-0.162225	0.037	0.429	27.5	60	0.996826	-13.3131	0	
* 61	2022-07-21 16:17:18	29	1	19.8582	-0.133211	0.012	0.175	27.5	60	0.999176	0.0914644	0	
* 62	2022-07-21 16:18:43	29	2	15.9311	-0.361442	0.0546	0.468	27.5	60	0.999335	-5.22731	0	
* 63	2022-07-21 16:21:00	32	1	19.401	-0.357363	0.03	0.383	27.5	60	0.997603	0.368123	0	
* 64	2022-07-21 16:22:25	32	2	11.885	-0.357935	0.031	0.374	27.5	60	0.997746	-5.38363	0	
* 65	2022-07-21 16:24:59	36	1	14.5644	-0.662799	0.035	0.406	27.5	60	0.998817	-7.67681	0	
* 66	2022-07-21 16:26:24	36	2	11.9844	-0.420643	0.035	0.404	27.5	60	0.997777	-1.34483	0	
* 67	2022-07-21 16:28:25	33	1	0	0	0.011	0.176	27.5	60	0	0	0	
* 68	2022-07-21 16:29:50	33	2	10.2984	-0.195567	0.036	0.425	27.5	60	0.998491	-1.64002	0	
* 69	2022-07-21 16:32:07	34	1	16.5735	-0.381722	0.045	0.454	27.5	59	0.99729	-2.6031	0	
* 70	2022-07-21 16:33:33	34	2	10.9109	-0.281772	0.045	0.452	27.5	60	0.995847	-1.4328	0	
* 71	2022-07-21 16:35:13	35	1	25.6193	-0.751828	0.011	0.174	27.5	60	0.992545	0.971131	0	
* 72	2022-07-21 16:36:38	35	2	11.0157	-0.329375	0.038	0.42	27.5	59	0.994296	0.914844	0	
* 73	2022-07-21 16:39:48	37	1	35.2834	-2.16124	0.0195333	0.242667	27.5	60	0.998055	0.972353	0	
* 74	2022-07-21 16:41:14	37	2	13.3741	-0.481322	0.044	0.441	27.5	60	0.997629	0.890979	0	
* 75	2022-07-21 16:43:16	39	1	12.7462	-0.190445	0.054	0.489	27.5	60	0.993319	-0.80713	0	
* 76	2022-07-21 16:44:41	39	2	6.75159	-0.167086	0.0554	0.4872	27.5	60	0.998605	0.516931	0	
* 77	2022-07-21 16:46:24	38	1	34.2481	-0.593844	0.053	0.492	27.5	60	0.989705	-0.22328	0	
* 78	2022-07-21 16:47:49	38	2	10.7006	-0.419078	0.042	0.446	27.5	59	0.981687	0.933133	0	
* 79	2022-07-21 16:49:18	40	1	15.5403	-0.532333	0.042	0.446	27.5	60	0.99727	-0.0300908	0	
* 80	2022-07-21 16:50:43	40	2	10.2579	-0.364257	0.041	0.446	27.5818	59	0.998362	0.84126	0	
* 81	2022-07-21 16:56:09	43	1	15.0389	-0.49364	0.042	0.435	27.2	60	0.998696	-1.9503	0	
* 82	2022-07-21 16:57:34	43	2	8.2809	-0.326683	0.042	0.438	27.2	59	0.421402	-69.6247	0	
* 83	2022-07-21 16:59:45	44	1	7.66484	-0.285473	0.000333334	0.108667	27.1	60	0.997672	-2.9696	0	
* 84	2022-07-21 17:01:10	44	2	6.98058	-0.294417	0.047	0.455	27.5	60	0.997752	0.918025	0	
* 85	2022-07-21 17:02:55	42	1	15.8725	-0.858533	0.04	0.423	27.2	60	0.997156	-0.26152	0	
* 86	2022-07-21 17:04:19	42	2	0	0	0.041	0.422	27.5	59	0	0	0	
* 87	2022-07-21 17:06:34	41	1	19.297	-0.277677	0.014	0.219	27.5	60	0.997487	0.943512	0	
* 88	2022-07-21 17:07:59	41	2	7.69002	-0.213141	0.044	0.48	27.5	60	0.705757	-6.39329	0	
* 89	2022-07-21 17:11:25	45	1	22.1007	-1.36596	0.043	0.458	27.5	60	0.995017	0.960922	0	
* 90	2022-07-21 17:12:50	45	2	7.68068	-0.176888	0.042	0.458	27.5	60	0.998019	0.49793	0	
* 91	2022-07-21 17:15:06	46	1	29.4598	-1.90659	0.035	0.393	27.5	60	0.995373	0.0482631	0	
* 92	2022-07-21 17:16:31	46	2	15.3111	-1.67001	0.035	0.396	27.5	60	0.998948	0.971832	0	
* 93	2022-07-21 17:18:04	48	1	14.6098	-2.48037	0.041	0.452	27.5	60	0.99206	0.970499	0	
* 94	2022-07-21 17:19:29	48	2	5.84213	-0.145944	0.042	0.451	27.2	60	0.993991	-25.6939	0	
* 95	2022-07-21 17:21:16	47	1	32.3472	-2.1772	0.018	0.267	27.5	60	0.991846	0.991586	0	
* 96	2022-07-21 17:22:40	47	2	11.016	-0.78986	0.04	0.447	27.5	59	0.998474	0.993515	0	
