Item#	Date_IV	File Name	Obs#	Exp_Flux	Exp_Flux[2]	soilp_c_IV	soilp_m_IV	soilp_t_IV	Observation Length	Exp_R2	Exp_R2[2]	err_IV	
* 1	2020-09-11 10:02:20	2	1	11.6182	-0.825149	0.025	0.44	25.6	59	0.476271	-1.10858	17.0455	
* 2	2020-09-11 10:03:46	2	2	10.1301	-0.247474	0.0253333	0.440333	25.4	60	0.321085	0.0191232	17.8667	
* 3	2020-09-11 10:06:32	3	1	8.75956	0.0174824	0	0	25.1	59	0.175989	-0.00946216	18.2273	
* 4	2020-09-11 10:07:58	3	2	17.1931	-0.034597	0.021	0.431	24.9	60	0.547278	-0.264753	17.9333	
* 5	2020-09-11 10:10:36	1	1	8.88845	-0.548459	0	0	24.9	59	0.384462	-0.111708	17.9545	
* 6	2020-09-11 10:12:01	1	2	9.03863	-0.0795325	0.019	0.356	24.7	59	0.293905	0.00541935	16	
* 7	2020-09-11 10:14:17	4	1	18.1987	-0.614152	0	0	24.7	59	0.571485	0.0815729	17.1364	
* 8	2020-09-11 10:15:43	4	2	9.81764	-0.675866	0.0116667	0.377667	24.7	60	0.438257	0.0558096	16	
* 9	2020-09-11 10:19:37	7	1	4.29669	1.475	0	0	24.7	59	0.131906	0.0197552	16	
* 10	2020-09-11 10:21:02	7	2	8.93202	0.610979	0.011	0.33	24.7	59	0.278127	0.0346413	17.7727	
* 11	2020-09-11 10:23:38	6	1	6.77047	-0.582455	0	0	24.7	59	0.311138	0.00793914	16	
* 12	2020-09-11 10:25:04	6	2	11.8595	0.609131	0.016	0.413	24.9	60	0.16652	0.0245769	16.8	
* 13	2020-09-11 10:27:36	8	1	14.1594	-0.019583	0	0	24.9	60	0.555341	-0.0855006	16.8	
* 14	2020-09-11 10:29:01	8	2	9.68468	-0.667422	0.01	0.338	24.9	60	0.363671	-2.1099	17.1333	
* 15	2020-09-11 10:31:31	5	1	14.7372	-0.802018	0.001	0.017	24.9	59	0.403617	-0.0325169	16.4091	
* 16	2020-09-11 10:32:57	5	2	19.9354	-0.573691	0.009	0.259	24.9	59	0.650935	-0.0104474	17	
