Item#	Date_IV	File Name	Obs#	Exp_Flux	Exp_Flux[2]	soilp_c_IV	soilp_m_IV	soilp_t_IV	Observation Length	Exp_R2	Exp_R2[2]	err_IV	
* 1	2022-06-22 10:58:28	2	1	20.2474	-6.5203	0.014	0.259	21.5	60	0.997047	0.997972	0	
* 2	2022-06-22 10:59:54	2	2	10.7027	-2.7449	0.014	0.261	21.5	60	0.998445	0.949229	0	
* 3	2022-06-22 11:01:31	3	1	10.3166	-1.53805	0.001	0.015	21.5	59	0.994269	0.915304	0	
* 4	2022-06-22 11:02:58	3	2	9.38722	-1.47102	0.013	0.277	21.9	60	0.993828	0.914256	0	
* 5	2022-06-22 11:06:12	1	1	13.9805	-2.88602	0.011	0.2	21.9	59	0.995145	0.994465	0	
* 6	2022-06-22 11:07:38	1	2	10.333	-1.59111	0.011	0.2	21.9	60	0.997733	0.953528	0	
* 7	2022-06-22 11:10:51	4	1	9.84782	-2.48489	0.00109091	-0.0560909	21.9	59	0.998013	0.995957	0	
* 8	2022-06-22 11:12:16	4	2	8.99881	-1.78193	0.01	0.215	21.9	59	0.997663	0.94284	0	
* 9	2022-06-22 11:19:41	7	1	11.5646	-2.54576	0.012	0.269	22.1	60	0.994472	0.995073	0	
* 10	2022-06-22 11:21:06	7	2	9.3122	-1.58749	0.012	0.269	22.1	60	0.993441	0.961159	0	
* 11	2022-06-22 11:23:32	6	1	8.38918	-2.24034	0.001	0.011	22.1	59	0.992905	0.981586	0	
* 12	2022-06-22 11:24:58	6	2	7.75782	-2.05896	0.011	0.211	22.1	60	0.99706	0.824265	0	
* 13	2022-06-22 11:28:14	5	1	19.4412	-3.71047	0.008	0.177	22.1	59	0.997607	0.835931	0	
* 14	2022-06-22 11:29:40	5	2	10.4903	-2.86388	0.008	0.178	22.1	60	0.99777	0.908247	0	
* 15	2022-06-22 11:31:52	8	1	7.58618	-2.61806	0.0088	0.1896	22.1	60	0.998143	0.979964	0	
* 16	2022-06-22 11:33:17	8	2	8.06948	-2.71445	0.006	0.156	22.1	59	0.997686	0.84175	0	
* 17	2022-06-22 11:36:48	9	1	20.0763	-3.92693	0.002	0	22.4	60	0.985198	0.973195	0	
* 18	2022-06-22 11:38:14	9	2	10.7133	-1.27715	0.033	0.344	22.4	59	0.994953	0.952078	0	
* 19	2022-06-22 11:40:15	12	1	0	0	0.001	0.006	22.6	60	0	0	0	
* 20	2022-06-22 11:41:41	12	2	4.79712	-0.238785	0.016	0.2	22.8	59	0.993915	0.26975	0	
* 21	2022-06-22 11:43:49	10	1	14.3943	-0.857694	0.0122	0.1676	23	60	0.998607	0.973058	0	
* 22	2022-06-22 11:45:14	10	2	5.57326	-0.350184	0.034	0.366	23	59	0.997755	0.900834	0	
* 23	2022-06-22 11:47:39	11	1	7.82976	-0.184859	0.002	0.007	23	59	0.993093	0.620297	0	
* 24	2022-06-22 11:49:05	11	2	3.07571	-0.0987532	0.05	0.473	23	60	0.989361	-0.117391	0	
* 25	2022-06-22 11:52:06	13	1	10.2477	-2.07973	0.023	0.265	22.8	59	0.998016	0.996145	0	
* 26	2022-06-22 11:53:33	13	2	0	0	0.023	0.265	22.8	60	0	0	0	
* 27	2022-06-22 11:56:13	14	1	19.7687	1.13328	0.038	0.345	22.8	59	0.998644	0.982227	0	
* 28	2022-06-22 11:57:39	14	2	13.2815	0.91616	0.038	0.345	22.8	59	0.998093	0.978869	0	
* 29	2022-06-22 12:00:00	15	1	14.7292	-1.67695	0.042	0.384	23	59	0.99544	0.994831	0	
* 30	2022-06-22 12:01:25	15	2	0	0	0.042	0.387	23	59	0	0	0	
* 31	2022-06-22 12:03:06	16	1	22.7388	-0.605555	0.062	0.494	23	60	0.991105	0.338925	0	
* 32	2022-06-22 12:04:31	16	2	9.57731	-0.663673	0.063	0.491	22.8	60	0.994476	0.928817	0	
* 33	2022-06-22 12:08:27	17	1	18.9629	-0.552331	0.007	0.063	22.8	60	0.991747	0.96384	0	
* 34	2022-06-22 12:09:52	17	2	7.86305	-0.416421	0.2644	0.5644	23	60	0.996106	0.0639915	0	
* 35	2022-06-22 12:11:56	18	1	20.5829	-2.74239	0.255467	0.592133	23.08	60	0.997713	0.994374	0	
* 36	2022-06-22 12:13:21	18	2	14.1443	-1.3605	0.243	0.616	23.3	60	0.99501	0.626772	0	
* 37	2022-06-22 12:15:20	20	1	5.21231	0.375509	0.181	0.528	23.5	59	0.944788	0.419888	0	
* 38	2022-06-22 12:16:46	20	2	1.30389	0.166785	0.18	0.542	23.3	59	0.304104	0.703934	0	
* 39	2022-06-22 12:18:46	19	1	2.78341	0.109997	0.18	0.542	23.3	60	0.976889	0.203948	0	
* 40	2022-06-22 12:20:11	19	2	1.71521	0.62604	0.176	0.521	23	60	0.944482	0.576044	0	
* 41	2022-06-22 12:22:54	21	1	26.4419	-2.92383	0.0194	0.0654	23	60	0.995794	0.994154	0	
* 42	2022-06-22 12:24:19	21	2	12.2916	-1.2666	0.034	0.339	22.8	60	0.99483	0.990591	0	
* 43	2022-06-22 12:28:08	24	1	34.6642	-1.25903	0.042	0.392	22.6	59	0.998542	0.978697	0	
* 44	2022-06-22 12:29:34	24	2	18.992	-0.476918	0.042	0.392	22.6	60	0.998884	0.511141	0	
* 45	2022-06-22 12:31:16	23	1	36.5479	-2.13524	0.019	0.088	22.4	59	0.997877	0.840072	0	
* 46	2022-06-22 12:32:42	23	2	0	0	0.047	0.452	22.6	60	0	0	0	
* 47	2022-06-22 12:34:16	22	1	3.02292	0.0398818	0.02	0.12	22.6	60	0.975525	0.246013	0	
* 48	2022-06-22 12:35:42	22	2	3.46407	1.00657	0.275	0.619	22.8	60	0.97804	0.214822	0	
* 49	2022-06-22 12:37:48	26	1	1.58597	0.232676	0.0245909	0.111136	23.0273	59	0.947645	-41.8119	0	
* 50	2022-06-22 12:39:13	26	2	1.06672	0.201663	0.131	0.532	23	59	0.88196	-2.00665	0	
* 51	2022-06-22 12:41:00	28	1	7.62716	-0.196467	0.081	0.503	23	60	0.995892	0.870262	0	
* 52	2022-06-22 12:42:26	28	2	3.50858	-0.127441	0.083	0.502	22.8	59	0.991976	-0.0981734	0	
