Item#	Date_IV	File Name	Obs#	Exp_Flux	Exp_Flux[2]	soilp_c_IV	soilp_m_IV	soilp_t_IV	Observation Length	Exp_R2	Exp_R2[2]	err_IV	
* 1	2022-01-19 08:56:00	4	1	-1.797	-2.86646	0.007	0.262	20.3	60	0.464084	0.539693	0	
* 2	2022-01-19 08:57:25	4	2	0.505891	-3.10807	0.006	0.267	17.5	60	-2.49428	0.185621	0	
* 3	2022-01-19 09:00:15	2	1	0	0	0.00666667	0.273667	15.7667	60	0	0	0	
* 4	2022-01-19 09:01:40	2	2	2.23383	2.7461	0.008	0.253	13.4	60	0.572303	0.929351	0	
* 5	2022-01-19 09:03:24	1	1	3.50576	-1.62729	0.009	0.264	11.9	60	0.111279	0.5947	0	
* 6	2022-01-19 09:04:50	1	2	0	-0.234373	0.009	0.263	11.3	59	0	0.106692	0	
* 7	2022-01-19 09:07:40	3	1	0.672354	-0.569385	0.005	0.132	9.9	60	0.586163	0.752932	0	
* 8	2022-01-19 09:09:06	3	2	0.621093	-0.439359	0.005	0.131	9.5	60	0.560983	0.932594	0	
* 9	2022-01-19 09:12:31	5	1	0.701863	-0.916059	0.005	0.114	7.7	60	0.696788	0.00267083	0	
* 10	2022-01-19 09:13:57	5	2	0.774528	-0.830128	0.005	0.143	7.2	60	0.592905	0.145803	0	
* 11	2022-01-19 09:15:47	8	1	0.653731	-0.841946	0	0	6.2	59	0.579813	0.433888	0	
* 12	2022-01-19 09:17:13	8	2	-0.569722	-0.0837639	0.0106	0.1434	5.98	60	0.16047	-16.5606	0	
* 13	2022-01-19 09:19:11	7	1	0.65443	-1.05216	0.0159545	0.239182	5.52273	59	0.499563	0.929269	0	
* 14	2022-01-19 09:20:37	7	2	0.382331	-0.198951	0.016	0.225	5.4	60	0.242818	-0.067217	0	
* 15	2022-01-19 09:24:47	6	1	-143.372	-0.646691	0	0	4.8	59	0.203036	0.0463693	0	
* 16	2022-01-19 09:26:14	6	2	0	0.236807	-0.0004	0.039	4.72	60	0	0.702381	0	
* 17	2022-01-19 09:29:44	10	1	4.51779	-0.0458086	0	0.011	4	60	0.196258	-4.03026	0	
* 18	2022-01-19 09:31:10	10	2	-1.69927	2.61079	0.001	0.021	4	60	0.700155	0.891396	0	
* 19	2022-01-19 09:32:54	12	1	0.394943	-0.121788	0	0	3.9	60	0.433006	-4.33666	0	
* 20	2022-01-19 09:34:20	12	2	-0.162374	0.00400171	0	0.04	4	60	-0.262454	-0.207684	0	
* 21	2022-01-19 09:36:25	9	1	0	0	0	0.014	4	60	0	0	0	
* 22	2022-01-19 09:37:51	9	2	0.532422	-0.207832	0	0.019	4.1	59	0.368315	0.799475	0	
* 23	2022-01-19 09:39:57	11	1	0.922894	-0.242516	0	0	3.9	60	0.112959	-0.187694	0	
* 24	2022-01-19 09:41:23	11	2	-0.234429	0.25076	0	0.027	4	60	-0.194881	-0.776373	0	
* 25	2022-01-19 09:45:32	13	1	-0.305089	0.272372	0	0.003	3.9	59	0.189102	0.56685	0	
* 26	2022-01-19 09:46:58	13	2	0	0.0924622	0	0.006	4	60	0	0.0265778	0	
* 27	2022-01-19 09:49:03	14	1	-1.41589	2.39441	0	0	3.9	60	0.59247	0.653209	0	
* 28	2022-01-19 09:50:29	14	2	-0.363361	0.478047	0	0.008	3.9	60	0.384082	0.618765	0	
* 29	2022-01-19 09:52:31	15	1	0.856852	-0.911215	0.001	0	3.9	60	0.698225	0.963718	0	
* 30	2022-01-19 09:53:56	15	2	0.496385	-0.40155	0.001	0.002	4	60	0.582725	0.944391	0	
* 31	2022-01-19 09:56:07	16	1	0.664737	-0.105288	0	0	3.9	60	0.524307	0.441797	0	
* 32	2022-01-19 09:57:33	16	2	0.417207	-0.130079	0.036	0.224	4.2	60	0.436009	0.801026	0	
* 33	2022-01-19 10:41:33	17	1	0.375389	-1.4614	0	0	5	59	0.50552	0.773331	0	
* 34	2022-01-19 10:43:00	17	2	0.478947	-0.323894	0	0	4.9	60	0.563975	0.844474	0	
* 35	2022-01-19 10:44:55	18	1	-0.517336	-0.625554	0	0	4.7	59	-3.301	0.330841	0	
* 36	2022-01-19 10:46:21	18	2	0.311511	-0.0396921	0	0	4.9	60	0.423375	0.0180049	0	
* 37	2022-01-19 10:48:10	19	1	-2.40284	-0.0905022	0	0	4.8	60	0.700484	-2.50264	0	
* 38	2022-01-19 10:49:36	19	2	-0.017587	0.0275182	0	0	5.1	60	-0.337543	-1.74382	0	
* 39	2022-01-19 10:52:06	20	1	-31.8489	-0.0537735	0	0	5	60	0.295096	0.170497	0	
* 40	2022-01-19 10:53:32	20	2	0.597201	-0.0987102	0	0	5	60	0.521234	-0.106924	0	
* 41	2022-01-19 10:56:15	24	1	1.41257	0.0788148	0	0	4.8	60	0.0407641	-4.82043	0	
* 42	2022-01-19 10:57:40	24	2	0.128777	0.893601	0	0	6.2	59	0.0206444	0.000697628	0	
* 43	2022-01-19 10:59:42	21	1	17.585	0.0743981	0	0	6.2	60	0.0904876	0.0240274	0	
* 44	2022-01-19 11:01:07	21	2	-0.212089	0.0403306	0	0	6.3	59	0.187517	-1.65007	0	
* 45	2022-01-19 11:03:41	23	1	0.0263221	-0.272862	0	0	6.4	60	-0.231924	0.628907	0	
* 46	2022-01-19 11:05:07	23	2	-0.282633	-0.0327402	0	0	6.5	60	-1.76753	0.0143117	0	
* 47	2022-01-19 11:06:59	22	1	0.162611	-0.134061	0	0	6.6	60	0.00315669	-2.82574	0	
* 48	2022-01-19 11:08:24	22	2	0.266556	-0.148464	0	0	6.6	60	0.230987	0.501707	0	
* 49	2022-01-19 11:14:38	26	1	0.86582	-0.170834	0	0	6.5	60	0.224151	-0.985928	0	
* 50	2022-01-19 11:16:04	26	2	0.0677993	-0.635335	0	0	6.5	60	-5.0677	0.720808	0	
* 51	2022-01-19 11:18:02	28	1	-0.0787648	-0.227871	0	0	6.3	59	-2.27597	0.242953	0	
* 52	2022-01-19 11:19:28	28	2	-0.148543	0.0230427	0	0	6.4	60	0.10235	-18.5062	0	
* 53	2022-01-19 11:23:02	25	1	0.0374508	-0.0968142	0	0	6.4	60	-2.263	-0.240913	0	
* 54	2022-01-19 11:24:28	25	2	-0.0838999	-0.116578	0	0	6.3	60	-2.18215	-0.151005	0	
* 55	2022-01-19 11:26:53	27	1	0.250786	-0.114086	0	0	6.3	60	0.213558	0.574918	0	
* 56	2022-01-19 11:28:18	27	2	0.324174	-0.053351	0	0	6.5	60	0.282701	0.0943896	0	
* 57	2022-01-19 11:30:47	30	1	0.052675	-0.0211177	0	0	6.3	59	0.0925267	0.108486	0	
