Item#	Date_IV	File Name	Obs#	Exp_Flux	Exp_Flux[2]	soilp_c_IV	soilp_m_IV	soilp_t_IV	Observation Length	Exp_R2	Exp_R2[2]	err_IV	
* 1	2020-10-28 13:11:30	47	1	3.6772	-0.129028	0.028	0.409	18.6	60	0.940969	0.117884	0	
* 2	2020-10-28 13:12:56	47	2	3.1146	-0.119646	0.028	0.409	18.6	60	0.943269	-0.949843	0	
* 3	2020-10-28 13:15:17	48	1	4.89566	-0.149908	0.035	0.457	18.6	59	0.958947	0.66875	0	
* 4	2020-10-28 13:16:43	48	2	3.31175	-0.113006	0.035	0.46	18.6	60	0.975775	-0.652795	0	
* 5	2020-10-28 13:18:51	46	1	2.59076	-0.0811252	0.003	0.045	18.8	60	0.89335	0.423423	0	
* 6	2020-10-28 13:20:16	46	2	2.52204	-0.119533	0.038	0.458	19.1	59	0.830682	-0.767799	0	
* 7	2020-10-28 13:23:04	45	1	6.84524	-0.117845	0.0378	0.4524	19.1	60	0.981801	-0.25776	0	
* 8	2020-10-28 13:24:29	45	2	3.95984	-0.0850364	0.04	0.49	19.3	59	0.984696	-6.20191	0	
* 9	2020-10-28 13:26:53	42	1	16.2688	-0.323398	0.004	0.046	19.5	60	0.955451	0.901822	0	
* 10	2020-10-28 13:28:18	42	2	5.54727	-0.304289	0.034	0.494	19.7	60	0.977638	0.710642	0	
* 11	2020-10-28 13:30:22	41	1	4.64489	-0.309903	0.04	0.486	19.9	60	0.991869	0.911032	0	
* 12	2020-10-28 13:31:48	41	2	3.99534	-0.307597	0.04	0.489	20.1	60	0.983306	0.266639	0	
* 13	2020-10-28 13:34:22	44	1	8.64189	-1.62617	0.037	0.456	19.9	60	0.988108	0.785342	0	
* 14	2020-10-28 13:35:48	44	2	3.91683	-0.163731	0.037	0.457	19.9	60	0.989067	-7.00921	0	
* 15	2020-10-28 13:37:45	43	1	73.7241	-0.0442471	0.004	0.056	19.9	60	0.987963	-7.37283	0	
* 16	2020-10-28 13:39:11	43	2	2.70346	-0.139915	0.033	0.436	19.9	60	0.957372	-20.729	0	
* 17	2020-10-28 13:41:30	38	1	6.6169	-0.172114	0.034	0.493	19.9	59	0.985079	-0.402653	0	
* 18	2020-10-28 13:42:56	38	2	0	0	0.033	0.492	20.1	60	0	0	0	
* 19	2020-10-28 13:45:19	40	1	4.27432	-0.172676	0.029	0.409	19.9	59	0.982193	0.691296	0	
* 20	2020-10-28 13:46:46	40	2	3.79744	-0.156827	0.029	0.412	19.9	60	0.980548	-0.232563	0	
* 21	2020-10-28 13:48:56	39	1	5.04131	-0.0833167	0.029	0.412	19.9	60	0.985629	0.461228	0	
* 22	2020-10-28 13:50:21	39	2	3.38192	-0.082235	0.04	0.493	20.1	59	0.982459	0.485264	0	
* 23	2020-10-28 13:52:15	37	1	10.6872	-0.789883	0.032	0.429	20.1	60	0.993835	0.935676	0	
* 24	2020-10-28 13:53:41	37	2	4.94758	-0.179112	0.033	0.429	20.1	60	0.993949	0.785219	0	
* 25	2020-10-28 13:56:00	33	1	10.7011	-0.295889	0.00133333	0.096	20.0333	60	0.994261	-6.61118	0	
* 26	2020-10-28 13:57:25	33	2	5.03947	-0.36256	0.037	0.473	20.5	60	0.785153	0.709675	0	
* 27	2020-10-28 13:59:39	35	1	7.82049	-0.0484799	0.006	0.092	20.3	60	0.990836	0.274712	0	
* 28	2020-10-28 14:01:05	35	2	3.65803	-0.0329724	0.036	0.479	20.5	60	0.990236	-204.581	0	
* 29	2020-10-28 14:03:20	34	1	10.157	-0.351553	0.035	0.463	20.3	60	0.993372	0.677076	0	
* 30	2020-10-28 14:04:46	34	2	6.54548	-0.108516	0.034	0.466	20.3	60	0.992726	0.608346	0	
* 31	2020-10-28 14:07:41	36	1	4.98684	-0.11465	0.021	0.365	20.1	60	0.96317	-7.21716	0	
* 32	2020-10-28 14:09:06	36	2	2.52142	-0.134021	0.021	0.364182	19.9	59	0.98192	0.659175	0	
* 33	2020-10-28 14:12:44	32	1	5.3811	-0.369133	0.017	0.372	20.1	60	0.990951	0.860394	0	
* 34	2020-10-28 14:14:09	32	2	3.98843	-0.0797695	0.018	0.379	20.3	60	0.988198	-8.40388	0	
* 35	2020-10-28 14:16:47	31	1	4.96036	-0.137653	0.028	0.464	20.3	60	0.986731	-39.972	0	
* 36	2020-10-28 14:18:13	31	2	3.0214	-0.0719886	0.028	0.467	20.1	60	0.93444	-13.2863	0	
* 37	2020-10-28 14:20:39	29	1	11.1393	-0.135427	0.005	0.083	19.9	60	0.994039	-2.20509	0	
* 38	2020-10-28 14:22:05	29	2	4.96211	-0.143157	0.036	0.478	20.3	60	0.993781	0.795241	0	
* 39	2020-10-28 14:24:33	30	1	9.17779	-0.148139	0.032	0.462	20.1	59	0.995603	-0.124389	0	
* 40	2020-10-28 14:26:00	30	2	4.7134	-0.25144	0.032	0.463	20.3667	60	0.994655	0.416518	0	
* 41	2020-10-28 14:28:37	27	1	7.98628	-0.142989	0.006	0.09	20.3	60	0.990106	0.11189	0	
* 42	2020-10-28 14:30:03	27	2	2.84537	-0.0807975	0.0366667	0.464	20.7667	60	0.940994	0.277459	0	
* 43	2020-10-28 14:32:30	25	1	12.3994	-4.51938	0.033	0.455	20.9	60	0.993308	0.968971	0	
* 44	2020-10-28 14:33:56	25	2	5.78257	-2.86655	0.035	0.46	20.7	60	0.993899	0.974614	0	
* 45	2020-10-28 14:36:19	26	1	9.99744	-0.11581	0.035	0.461	21.1	60	0.988007	-1.45375	0	
