Item#	Date_IV	File Name	Obs#	Exp_Flux	Exp_Flux[2]	soilp_c_IV	soilp_m_IV	soilp_t_IV	Observation Length	Exp_R2	Exp_R2[2]	err_IV	
* 1	2022-06-22 18:01:51	4	1	9.6228	-1.81449	0.013	0.228	23.7	60	0.997535	0.992592	0	
* 2	2022-06-22 18:03:17	4	2	9.16322	-1.86447	0.013	0.231	23.5	60	0.997382	0.854539	0	
* 3	2022-06-22 18:05:16	2	1	8.35294	-2.18438	0.006	0.047	23.5	60	0.995626	0.948017	0	
* 4	2022-06-22 18:06:42	2	2	8.76567	-2.35227	0.015	0.239	23.5	60	0.997045	0.944349	0	
* 5	2022-06-22 18:08:40	3	1	8.22768	-1.56212	0.0136667	0.215667	23.3	60	0.784215	0.769034	0	
* 6	2022-06-22 18:10:06	3	2	8.78883	-1.61404	0.019	0.312	23	60	0.938616	0.93511	0	
* 7	2022-06-22 18:12:03	1	1	10.6982	-1.72915	0.024	0.327	23	60	0.997878	0.997296	0	
* 8	2022-06-22 18:13:28	1	2	9.95971	-1.66876	0.023	0.327	23	60	0.965303	0.990414	0	
* 9	2022-06-22 18:15:31	5	1	4.58245	-1.47647	0.024	0.327	22.8	60	0.752911	0.744846	0	
* 10	2022-06-22 18:16:56	5	2	5.24224	-1.66112	0.013	0.216	22.8	60	0.701645	0.694042	0	
* 11	2022-06-22 18:19:04	6	1	11.0442	-2.74403	0.012	0.208	22.6	60	0.998336	0.964146	0	
* 12	2022-06-22 18:20:30	6	2	11.3735	-2.73799	0.013	0.205	22.8	60	0.900292	0.95216	0	
* 13	2022-06-22 18:22:04	7	1	7.51429	-1.4051	0.014	0.264	22.8	60	0.996538	0.98777	0	
* 14	2022-06-22 18:23:30	7	2	7.39572	-1.42472	0.014	0.266	22.8	60	0.996942	0.968408	0	
* 15	2022-06-22 18:25:02	8	1	5.33773	-2.1728	0.006	0.052	22.6	60	0.667785	0.753878	0	
* 16	2022-06-22 18:26:28	8	2	0	0	0.015	0.239	22.6	60	0	0	0	
* 17	2022-06-22 18:28:07	10	1	19.0949	-1.1705	0.006	0.048	22.6	60	0.99763	0.96087	0	
* 18	2022-06-22 18:29:34	10	2	7.33014	-0.344793	0.041	0.37	22.6	60	0.994453	0.727595	0	
* 19	2022-06-22 18:31:11	12	1	6.77868	-0.286283	0.006	0.046	22.4	60	0.990916	0.883611	0	
* 20	2022-06-22 18:32:36	12	2	0	0	0.036	0.415	22.4	60	0	0	0	
* 21	2022-06-22 18:34:01	9	1	22.6142	-1.51809	0.006	0.047	22.4	60	0.990536	0.850677	0	
* 22	2022-06-22 18:35:26	9	2	11.5464	-1.19716	0.039	0.358	22.6	60	0.996244	0.641068	0	
* 23	2022-06-22 18:36:57	11	1	7.63513	-0.400843	0.05	0.485	22.6	60	0.9877	0.828619	0	
* 24	2022-06-22 18:38:23	11	2	0	0	0.052	0.483	22.6	60	0	0	0	
* 25	2022-06-22 18:40:06	13	1	16.1628	-1.71083	0.006	0.049	22.6	60	0.997941	0.972692	0	
* 26	2022-06-22 18:41:32	13	2	10.9518	-1.38633	0.028	0.292	22.6	60	0.99414	0.968073	0	
* 27	2022-06-22 18:43:05	15	1	17.6234	-2.20676	0.006	0.041	22.4	60	0.997123	0.993185	0	
* 28	2022-06-22 18:44:31	15	2	12.1762	-1.38185	0.052	0.441	22.4	60	0.996994	0.992795	0	
* 29	2022-06-22 18:46:09	14	1	13.5341	0.727932	0.006	0.041	22.4	60	0.840571	0.912072	0	
* 30	2022-06-22 18:47:35	14	2	11.171	0.764155	0.053	0.447	22.4	60	0.921658	0.91349	0	
* 31	2022-06-22 18:49:08	16	1	5.47105	-0.422463	0.006	0.047	22.4	60	0.955605	0.842489	0	
* 32	2022-06-22 18:50:33	16	2	6.11662	-0.442427	0.058	0.485	22.4	60	0.977135	0.563421	0	
* 33	2022-06-22 18:54:05	17	1	14.995	0.370778	0.006	0.045	22.4	60	0.99672	0.847254	0	
* 34	2022-06-22 18:55:32	17	2	9.04041	0.298062	0.223	0.546	22.4	60	0.997017	0.771105	0	
* 35	2022-06-22 18:57:12	18	1	5.80227	0.0273314	0.012	0.085	22.6	60	0.996554	-148.63	0	
* 36	2022-06-22 18:58:38	18	2	5.6397	0.111603	0.267	0.572	22.6	60	0.777276	0.733006	0	
* 37	2022-06-22 19:00:13	20	1	11.0666	1.23301	0.267	0.572	22.6	60	0.996047	0.98767	0	
* 38	2022-06-22 19:01:38	20	2	5.64592	0.668731	0.1912	0.5154	22.8	60	0.992152	0.965566	0	
* 39	2022-06-22 19:03:11	19	1	3.21333	0.245602	0.018	0.105	22.8	60	0.988657	0.0580855	0	
* 40	2022-06-22 19:04:37	19	2	3.21064	-0.0123894	0.202	0.495	22.6	60	0.386013	-0.965766	0	
* 41	2022-06-22 19:06:32	21	1	22.0196	-0.239253	0.018	0.105	22.6	60	0.975915	-0.457598	0	
* 42	2022-06-22 19:07:57	21	2	7.79628	-0.18881	0.057	0.435	22.6	60	0.991326	0.493883	0	
* 43	2022-06-22 19:09:23	24	1	0	0	0.056	0.439	22.6	60	0	0	0	
