Item#	Date_IV	File Name	Obs#	Exp_Flux	Exp_Flux[2]	soilp_c_IV	soilp_m_IV	soilp_t_IV	Observation Length	Exp_R2	Exp_R2[2]	err_IV	
* 1	2022-06-20 10:35:22	7	1	9.67257	-1.47291	0.0144	0.281	21.18	60	0.993887	0.97816	0	
* 2	2022-06-20 10:36:47	7	2	0	0	0.014	0.279	20.9	60	0	0	0	
* 3	2022-06-20 10:39:11	6	1	9.46509	-2.04147	0.014	0.28	20.7	60	0.995341	0.955649	0	
* 4	2022-06-20 10:40:37	6	2	7.76033	-1.78294	0.009	0.214	20.5	60	0.991333	0.993574	0	
* 5	2022-06-20 10:42:45	8	1	14.0796	-2.576	0.009	0.229	20.3	60	0.987907	0.778575	0	
* 6	2022-06-20 10:44:11	8	2	8.24124	-2.16522	0.01	0.228	20.1	60	0.994442	0.936443	0	
* 7	2022-06-20 10:46:12	5	1	19.7479	-3.54728	0.01	0.228	20.1	60	0.996823	0.971565	0	
* 8	2022-06-20 10:47:37	5	2	0	0	0.009	0.207	20.1	59	0	0	0	
* 9	2022-06-20 10:49:48	11	1	5.56115	-0.144263	0	0	20.1	60	0.988112	0.568938	0	
* 10	2022-06-20 10:51:13	11	2	0	0	0.042	0.437	20.1	60	0	0	0	
* 11	2022-06-20 10:53:07	9	1	13.2014	-0.817603	0	0	19.7	59	0.99726	0.986607	0	
* 12	2022-06-20 10:54:33	9	2	10.5313	-0.785778	0.034	0.339	19.9	60	0.986253	0.900256	0	
* 13	2022-06-20 10:59:24	12	1	0	0	0.033	0.346	20.5	60	0	0	0	
* 14	2022-06-20 11:00:50	12	2	3.68558	-0.120702	0.034	0.345	20.5	60	0.985031	0.676908	0	
* 15	2022-06-20 11:04:53	10	1	11.0954	-0.329818	0	0	20.9	60	0.990766	0.81988	0	
* 16	2022-06-20 11:06:18	10	2	5.25098	-0.204848	0.043	0.400591	20.7	59	0.991274	-0.478951	0	
