Item#	Date_IV	File Name	Obs#	Exp_Flux	Exp_Flux[2]	soilp_c_IV	soilp_m_IV	soilp_t_IV	Observation Length	Exp_R2	Exp_R2[2]	err_IV	
* 1	2022-06-22 07:02:11	47	1	24.2713	-1.66147	0.02	0.296	20.9	60	0.983472	0.409876	0	
* 2	2022-06-22 07:03:36	47	2	16.0758	-12.8232	0.02	0.298	20.9	60	0.994205	0.00149717	0	
* 3	2022-06-22 07:05:19	48	1	10.7818	-0.63551	0.03	0.337	20.5	60	0.981204	-4.60992	0	
* 4	2022-06-22 07:06:45	48	2	5.31135	-0.557403	0.029	0.329	20.5	60	0.968074	0.931036	0	
* 5	2022-06-22 07:08:20	46	1	17.7325	-2.17398	0.039	0.4	20.1	60	0.997729	0.976093	0	
* 6	2022-06-22 07:09:46	46	2	0	0	0.037	0.396	20.1	60	0	0	0	
* 7	2022-06-22 07:11:23	45	1	0.376709	0.780142	0	0	19.9	60	-721.391	0.141544	0	
* 8	2022-06-22 07:12:48	45	2	1.35131	0.0168529	0.044	0.456	19.9	59	0.800313	0.0370889	0	
* 9	2022-06-22 07:14:36	44	1	28.8665	-2.31423	0	0	19.9	60	0.976006	0.959169	0	
* 10	2022-06-22 07:16:01	44	2	5.47736	-0.491847	0.037	0.38	19.8636	59	0.979039	0.926462	0	
* 11	2022-06-22 07:17:35	42	1	14.5231	-1.44493	0.037	0.38	19.7	60	0.997406	0.784936	0	
* 12	2022-06-22 07:19:01	42	2	9.46776	-1.30754	0.025	0.287	19.7	60	0.996962	0.630957	0	
* 13	2022-06-22 07:20:36	41	1	22.1108	-1.58971	0.025	0.286	19.5	60	0.996624	0.936383	0	
* 14	2022-06-22 07:22:02	41	2	6.74298	-0.315037	0.0412667	0.416533	19.7	60	-0.358902	-2.46075	0	
* 15	2022-06-22 07:23:36	43	1	26.2237	-2.15774	0.042	0.42	19.7	60	0.998236	0.995074	0	
* 16	2022-06-22 07:25:02	43	2	9.52575	-0.867176	0.029	0.356333	20.3	60	0.899692	0.894875	0	
* 17	2022-06-22 07:26:37	40	1	18.9866	-1.29221	0.029	0.361	20.1	60	0.997307	0.438836	0	
* 18	2022-06-22 07:28:03	40	2	0	0	0.0296	0.3542	20.1	60	0	0	0	
* 19	2022-06-22 07:29:37	38	1	17.8959	-0.934612	0.029	0.358	19.9	59	0.996882	0.590444	0	
* 20	2022-06-22 07:31:04	38	2	9.85243	-0.755854	0.027	0.348091	19.9	60	0.997227	0.987911	0	
* 21	2022-06-22 07:32:38	39	1	7.63571	-0.386309	0.027	0.351	19.7	60	0.994504	0.640591	0	
* 22	2022-06-22 07:34:04	39	2	4.29371	-0.289242	0.029	0.306	19.7	60	0.9901	0.525765	0	
* 23	2022-06-22 07:35:37	37	1	33.7429	-0.735028	0.029	0.306	19.7	60	0.994889	-1.61153	0	
* 24	2022-06-22 07:37:03	37	2	11.2573	-0.437889	0.038	0.3668	19.9	60	0.995458	0.912449	0	
* 25	2022-06-22 07:38:46	33	1	3.03097	-0.0214838	0.036	0.361	19.9	60	0.924012	-5.50366	0	
* 26	2022-06-22 07:40:12	33	2	2.36896	-0.0422722	0.035	0.444	19.9	59	0.970046	0.230142	0	
* 27	2022-06-22 07:41:46	35	1	15.3864	-0.92457	0.037	0.441	19.9	59	0.997355	0.773769	0	
* 28	2022-06-22 07:43:11	35	2	11.3568	-0.838818	0.015	0.225	20.1	59	0.997045	0.436219	0	
* 29	2022-06-22 07:48:40	34	1	69.6763	-11.2407	0.037	0.432	19.9	59	0.934288	0.560867	0	
* 30	2022-06-22 07:50:04	34	2	12.3892	-0.887461	0.037	0.432	19.7	60	0.996416	0.98457	0	
* 31	2022-06-22 07:51:47	36	1	12.5672	-4.55859	0.037	0.432	19.7	60	0.998323	0.0692812	0	
* 32	2022-06-22 07:53:13	36	2	9.26765	-0.707227	0.031	0.428	19.7	60	0.995676	-0.045712	0	
* 33	2022-06-22 07:55:33	32	1	43.5467	-0.537361	0.002	0	19.7	60	0.999458	0.766929	0	
* 34	2022-06-22 07:56:59	32	2	28.2743	-0.369242	0.0166667	0.300333	19.7	60	0.99829	0.628856	0	
* 35	2022-06-22 07:58:48	31	1	11.43	-0.438945	0.001	0	19.7	60	0.997324	0.847297	0	
* 36	2022-06-22 08:00:13	31	2	4.46576	-0.287771	0.025	0.379	19.7	59	0.537901	0.644563	0	
* 37	2022-06-22 08:02:18	29	1	2.91762	0.0722752	0.185	0.48	19.5	59	0.989159	-34.7265	0	
* 38	2022-06-22 08:03:43	29	2	2.03701	0.106958	0.2	0.492	19.7	59	0.977132	0.416386	0	
* 39	2022-06-22 08:05:35	30	1	33.6681	-0.775512	0.013	0.045	19.9	60	0.995363	0.951469	0	
* 40	2022-06-22 08:07:00	30	2	9.15428	-0.318468	0.041	0.396	19.9	59	0.996751	-1.83515	0	
* 41	2022-06-22 08:08:53	27	1	100.477	-1.23681	0.04	0.396	19.7	60	0.998832	-0.584937	0	
* 42	2022-06-22 08:10:18	27	2	36.9646	-0.28956	0.044	0.414	19.7	59	0.998984	-7.31746	0	
* 43	2022-06-22 08:12:12	25	1	40.5888	-1.04371	0.046	0.447	19.7	59	0.999046	0.885172	0	
* 44	2022-06-22 08:13:38	25	2	11.8448	-0.571919	0.046	0.447	19.7	59	0.997446	0.873352	0	
* 45	2022-06-22 08:15:50	26	1	39.0862	1.35291	0.046	0.447	19.5	59	0.997224	0.145948	0	
* 46	2022-06-22 08:17:16	26	2	10.8984	0.125035	0.042	0.405	19.5	60	0.997552	0.579638	0	
* 47	2022-06-22 08:19:21	28	1	95.6906	-6.95829	0.054	0.424	19.5	60	0.98868	0.978102	0	
* 48	2022-06-22 08:20:47	28	2	22.9073	-1.14193	0.056	0.422	19.7	60	0.997012	0.946069	0	
* 49	2022-06-22 08:24:47	23	1	22.7393	-1.86797	0.029	0.236	19.7	60	0.995257	0.876832	0	
* 50	2022-06-22 08:26:13	23	2	9.7785	-0.735888	0.044	0.417	19.7	60	0.996233	-41.1887	0	
