Item#	Date_IV	File Name	Obs#	Exp_Flux	Exp_Flux[2]	soilp_c_IV	soilp_m_IV	soilp_t_IV	Observation Length	Exp_R2	Exp_R2[2]	err_IV	
* 1	2022-06-24 08:46:52	4	1	6.97569	-0.759639	0.017	0.359	21.9	59	0.98701	0.763097	0	
* 2	2022-06-24 08:48:17	4	2	5.60302	-0.501857	0.017	0.361	21.5	59	0.730036	0.870363	0	
* 3	2022-06-24 08:51:08	2	1	47.313	-4.11537	0.003	0.016	20.9	59	0.998839	0.998157	0	
* 4	2022-06-24 08:52:35	2	2	12.9945	-1.08444	0.023	0.386	20.5	60	0.997533	-1.97624	0	
* 5	2022-06-24 08:55:00	3	1	29.2008	-2.85033	0.003	0.05	20.3	59	0.99821	0.994785	0	
* 6	2022-06-24 08:56:27	3	2	0	0	0.023	0.3962	20.3	60	0	0	0	
* 7	2022-06-24 08:58:55	1	1	25.8289	-2.28843	0.007	0.155	20.1	59	0.997521	0.993577	0	
* 8	2022-06-24 09:00:20	1	2	10.9645	-0.778301	0.0297273	0.435	20.1	59	0.997173	0.977691	0	
* 9	2022-06-24 09:03:01	5	1	13.5616	-2.06335	0.008	0.172	19.9	59	0.997477	0.207212	0	
* 10	2022-06-24 09:04:27	5	2	11.6449	-1.04416	0.021	0.377682	19.9	59	0.997473	0.954942	0	
* 11	2022-06-24 09:06:25	6	1	20.2626	-2.4512	0.02	0.377	19.9	59	0.998113	0.84869	0	
* 12	2022-06-24 09:07:51	6	2	10.0408	-0.659017	0.02	0.368	19.9	59	0.996662	0.594061	0	
* 13	2022-06-24 09:09:48	7	1	31.5463	-3.37148	0.021	0.389	19.9	59	0.997049	0.975793	0	
* 14	2022-06-24 09:11:14	7	2	13.1026	-0.0595736	0.02	0.391	19.7	59	0.994431	0.0697815	0	
* 15	2022-06-24 09:13:26	8	1	6.87105	-0.882111	0.022	0.387318	19.9	59	0.970481	0.206669	0	
* 16	2022-06-24 09:14:52	8	2	8.44335	-1.24055	0.022	0.387	19.9	59	0.996772	-10.837	0	
* 17	2022-06-24 09:17:42	9	1	22.9677	-1.5496	0.045	0.456	19.9	60	0.995317	0.970028	0	
* 18	2022-06-24 09:19:06	9	2	11.1905	-0.398971	0.045	0.456	19.9	59	0.996066	0.964413	0	
* 19	2022-06-24 09:20:47	10	1	17.3546	-0.53986	0.009	0.176	19.9	59	0.996149	0.855046	0	
* 20	2022-06-24 09:22:13	10	2	4.65045	-0.105401	0.047	0.456	19.9	59	0.991594	0.595624	0	
* 21	2022-06-24 09:23:59	12	1	21.018	-0.0587917	0.048	0.456	20.1	59	0.995266	0.366287	0	
* 22	2022-06-24 09:25:25	12	2	5.30964	-0.224376	0.042	0.443	20.1	59	0.995965	0.249687	0	
* 23	2022-06-24 09:27:27	11	1	0	0	0.0495	0.482545	20.1	59	0	0	0	
* 24	2022-06-24 09:28:53	11	2	3.48145	-0.039449	0.053	0.501	20.3	60	0.9895	-0.497504	0	
* 25	2022-06-24 09:32:21	13	1	30.5301	-3.86591	-0.0002	0.1174	20.1	60	0.996544	0.969438	0	
* 26	2022-06-24 09:33:47	13	2	9.10519	-0.787966	0.038	0.424	20.1	59	0.994486	0.568654	0	
* 27	2022-06-24 09:36:16	14	1	132.969	7.27754	0.008	0.159	20.1	60	0.99501	0.93667	0	
* 28	2022-06-24 09:37:42	14	2	17.1027	0.255904	0.052	0.48	20.1	59	0.999005	0.853726	0	
* 29	2022-06-24 09:39:26	15	1	78.977	-3.56955	0.0532273	0.482455	20.1	59	0.993846	0.988887	0	
* 30	2022-06-24 09:40:52	15	2	21.3407	-7.22907	0.055	0.486	20.1	59	0.994715	0.00700162	0	
* 31	2022-06-24 09:43:00	16	1	0	0	0.009	0.165	20.1	60	0	0	0	
* 32	2022-06-24 09:44:26	16	2	7.10298	-0.128274	0.058	0.495636	20.3	59	0.994562	0.620951	0	
* 33	2022-06-24 09:49:09	17	1	22.4016	3.49028	0.001	0.016	20.5	59	0.838594	0.0144356	0	
* 34	2022-06-24 09:50:35	17	2	11.4108	-0.378475	0.072	0.394	20.5	59	0.997918	0.763372	0	
