Item#	Date_IV	File Name	Obs#	Exp_Flux	Exp_Flux[2]	soilp_c_IV	soilp_m_IV	soilp_t_IV	Observation Length	Exp_R2	Exp_R2[2]	err_IV	
* 1	2022-06-22 14:49:54	47	1	11.2829	-1.10875	0.001	0.003	25.9	59	0.99685	0.613621	0	
* 2	2022-06-22 14:51:20	47	2	6.40514	-0.789693	0.033	0.414	25.4	60	0.994824	0.421889	0	
* 3	2022-06-22 14:53:09	48	1	11.6252	-1.07739	0.0332727	0.423091	25.1	59	0.991812	0.983762	0	
* 4	2022-06-22 14:54:34	48	2	0	0	0.033	0.39	25.1	59	0	0	0	
* 5	2022-06-22 14:56:12	46	1	28.0429	-3.90771	0.034	0.395	25.1	59	0.991715	0.989039	0	
* 6	2022-06-22 14:57:36	46	2	6.42686	-1.11377	0.03	0.329	24.9	59	0.993056	-0.853021	0	
* 7	2022-06-22 14:59:43	45	1	13.2206	0.0226012	0.002	0.024	24.9	59	0.988219	-3.39926	0	
* 8	2022-06-22 15:01:09	45	2	2.80537	-0.00513694	0.0447273	0.494455	24.9	59	0.95768	-1.29451	0	
* 9	2022-06-22 15:03:27	41	1	1.34324	0.0312662	0.058	0.517	25.1	59	-18.4378	0.116636	0	
* 10	2022-06-22 15:04:52	41	2	1.32561	0.026662	0.056	0.521	24.9	59	0.946913	-4.25661	0	
* 11	2022-06-22 15:07:03	44	1	1.76318	0.586003	0.004	0.085	24.7	60	0.923277	0.0564023	0	
* 12	2022-06-22 15:08:29	44	2	1.10411	-0.00421957	0.053	0.514	24.9	59	0.910561	-0.193657	0	
* 13	2022-06-22 15:10:20	42	1	3.13614	-0.0862595	0.047	0.483	24.9	59	0.98255	-0.312737	0	
* 14	2022-06-22 15:11:46	42	2	2.02035	-0.0874659	0.045	0.486	24.7	59	0.975718	0.0461613	0	
* 15	2022-06-22 15:13:29	43	1	6.39022	-0.847909	0.004	0.091	24.4	59	0.990389	0.172727	0	
* 16	2022-06-22 15:14:55	43	2	3.48582	0.0387096	0.044	0.491	24.4	59	0.986617	0.353376	0	
* 17	2022-06-22 15:17:02	40	1	6.76102	0.198969	0	0	24.2	59	0.982195	0.175681	0	
* 18	2022-06-22 15:18:28	40	2	1.68165	-0.00979796	0.042	0.489	23.9	60	0.971745	-0.85587	0	
* 19	2022-06-22 15:20:02	38	1	11.7453	-0.887576	0.042	0.489	23.7	59	0.960886	0.710294	0	
* 20	2022-06-22 15:21:28	38	2	1.98706	-0.124958	0.031	0.421	23.7	59	0.431793	0.600536	0	
* 21	2022-06-22 15:23:20	39	1	3.42504	-0.0103348	0.045	0.494	23.7	59	0.970758	0.0102684	0	
* 22	2022-06-22 15:24:46	39	2	1.18244	0.0207989	0.047	0.494	23.7	59	0.943367	0.0643167	0	
* 23	2022-06-22 15:26:54	37	1	0	0	0.008	0.174	23.9	59	0	0	0	
* 24	2022-06-22 15:28:20	37	2	0	0	0.056	0.528	23.9	59	0	0	0	
* 25	2022-06-22 15:30:49	35	1	6.40573	-4.16926	0.007	0.165	23.9	60	0.986983	0.99405	0	
* 26	2022-06-22 15:32:15	35	2	2.2905	2.77633	0.044	0.477	24.2	59	0.927176	0.848535	0	
* 27	2022-06-22 15:33:56	34	1	42.2689	-0.352617	0.046	0.475	24.2	59	0.98203	-1.61099	0	
* 28	2022-06-22 15:35:22	34	2	9.52395	-0.377577	0.052	0.46	24.2	59	0.947548	0.874915	0	
* 29	2022-06-22 15:37:18	33	1	10.3712	0.761287	0.04	0.486	23.9	59	0.989486	0.361647	0	
* 30	2022-06-22 15:38:44	33	2	3.71799	0.00751503	0.041	0.489	23.9	59	0.983681	-1.23038	0	
* 31	2022-06-22 15:40:37	36	1	4.89528	-0.48643	0.008	0.179	23.9	60	0.964102	0.634849	0	
* 32	2022-06-22 15:42:02	36	2	3.6952	-0.110766	0.039	0.48	23.9	59	0.990577	0.709985	0	
* 33	2022-06-22 15:44:37	32	1	5.77988	-0.0339119	0.008	0.161	23.9	59	0.993049	-2.28972	0	
* 34	2022-06-22 15:46:03	32	2	2.41771	-0.0840378	0.048	0.448	23.9	59	0.979874	-83.5281	0	
* 35	2022-06-22 15:47:59	31	1	4.17712	-0.219612	0.048	0.451	23.7	59	0.979019	-22.2047	0	
* 36	2022-06-22 15:49:24	31	2	1.28706	0.0739878	0.044	0.47	23.7	59	0.908127	-252.36	0	
* 37	2022-06-22 15:51:30	29	1	8.84528	1.29073	0.203	0.497	23.7	59	0.996535	0.990101	0	
* 38	2022-06-22 15:52:56	29	2	5.20929	0.362267	0.202	0.515	23.7	59	0.996015	0.920005	0	
* 39	2022-06-22 15:55:54	30	1	4.04227	0.139566	0.007	0.117	23.7	59	0.984202	0.103624	0	
* 40	2022-06-22 15:57:20	30	2	1.77954	0.00617438	0.007	0.14	23.9	59	0.968939	-5.46638	0	
* 41	2022-06-22 15:59:40	27	1	7.78945	0.322593	0.008	0.142	23.9	60	0.994018	0.817785	0	
* 42	2022-06-22 16:01:05	27	2	3.14174	0.0395553	0.094	0.506	23.9	59	0.988713	0.183203	0	
* 43	2022-06-22 16:02:42	25	1	37.199	5.78387	0.007	0.127	23.9	59	0.99856	0.998306	0	
* 44	2022-06-22 16:04:08	25	2	10.9027	1.55306	0.216	0.544	23.9	59	0.998106	0.99654	0	
