File_Name,File_Path,File_Description,Standard,UTC_Offset,Date_Start,Date_End
TEMPESTX_20220401_concentrations.csv,concentrations,Measured gas concentration data,,-5,20220401,20220401
TEMPESTX_20220415_concentrations.csv,concentrations,Measured gas concentration data,,-5,20220415,20220415
TEMPESTX_20220426_concentrations.csv,concentrations,Measured gas concentration data,,-5,20220426,20220426
TEMPESTX_20220513_concentrations.csv,concentrations,Measured gas concentration data,,-5,20220513,20220513
TEMPESTX_20220620_concentrations.csv,concentrations,Measured gas concentration data,,-5,20220620,20220620
TEMPESTX_20220621_concentrations.csv,concentrations,Measured gas concentration data,,-5,20220621,20220621
TEMPESTX_20220622a_concentrations.csv,concentrations,Measured gas concentration data,,-5,20220622,20220622
TEMPESTX_20220622b_concentrations.csv,concentrations,Measured gas concentration data,,-5,20220622,20220622
TEMPESTX_20220622c_concentrations.csv,concentrations,Measured gas concentration data,,-5,20220622,20220622
TEMPESTX_20220622d_concentrations.csv,concentrations,Measured gas concentration data,,-5,20220622,20220622
TEMPESTX_20220623_concentrations.csv,concentrations,Measured gas concentration data,,-5,20220623,20220623
TEMPESTX_20220624_concentrations.csv,concentrations,Measured gas concentration data,,-5,20220624,20220624
TEMPESTX_20220629_concentrations.csv,concentrations,Measured gas concentration data,,-5,20220629,20220629
TEMPESTX_20220705_concentrations.csv,concentrations,Measured gas concentration data,,-5,20220705,20220705
TEMPESTX_20220707_concentrations.csv,concentrations,Measured gas concentration data,,-5,20220707,20220707
TEMPESTX_20220715_concentrations.csv,concentrations,Measured gas concentration data,,-5,20220715,20220715
TEMPESTX_20220721_concentrations.csv,concentrations,Measured gas concentration data,,-5,20220721,20220721
TEMPESTX_20220728_concentrations.csv,concentrations,Measured gas concentration data,,-5,20220728,20220728
TEMPESTX_20220804_concentrations.csv,concentrations,Measured gas concentration data,,-5,20220804,20220804
TEMPESTX_20220810_concentrations.csv,concentrations,Measured gas concentration data,,-5,20220810,20220810
TEMPESTX_20220816_concentrations.csv,concentrations,Measured gas concentration data,,-5,20220816,20220816
TEMPESTX_20220823_concentrations.csv,concentrations,Measured gas concentration data,,-5,20220823,20220823
TEMPESTX_20220912_concentrations.csv,concentrations,Measured gas concentration data,,-5,20220912,20220912
TEMPESTX_20220927_concentrations.csv,concentrations,Measured gas concentration data,,-5,20220927,20220927
TEMPESTX_20221012_concentrations.csv,concentrations,Measured gas concentration data,,-5,20221012,20221012
TEMPESTX_20221101_concentrations.csv,concentrations,Measured gas concentration data,,-5,20221101,20221101
TEMPESTX_20221114_concentrations.csv,concentrations,Measured gas concentration data,,-5,20221114,20221114
TEMPESTX_20221207_concentrations.csv,concentrations,Measured gas concentration data,,-5,20221207,20221207
TEMPESTX_20221219_concentrations.csv,concentrations,Measured gas concentration data,,-5,20221219,20221219
TEMPESTX_20230103_concentrations.csv,concentrations,Measured gas concentration data,,-5,20230103,20230103
TEMPESTX_20230118_concentrations.csv,concentrations,Measured gas concentration data,,-5,20230118,20230118
TEMPESTX_20230130_concentrations.csv,concentrations,Measured gas concentration data,,-5,20230130,20230130
TEMPESTX_20230213_concentrations.csv,concentrations,Measured gas concentration data,,-5,20230213,20230213
